,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ300274,0.22032460532533274,1.0,,,,,,2026-07-10,-0.06803603,0.079564884,-0.85510117,0.0051148706,0.06428553,0.006413988,0.08061329,-0.066736914,-0.8387734,1.0730028,1.0784911,0.99311775,1.0319937,1.0990423,1.315873,1.2784165,1.6559727,1.1638321,1.0784873,1.1539111,1.2392281,1.2916929,1.2852459,0.046667494,0.12365829,0.12520438,0.1413243,0.14419916,-0.02639511,-0.03557343,-0.016705079,-0.0132596735,0.00048010985,0.799757,0.7586064,0.62305444,0.68223447,0.0033810812,-0.025697023,0.006169363,-0.08052989,-0.09942759,-0.29940918,1.1490476,1.3961073,1.4561338,1.6606808,1.6700886,0.99311775,0.99311775,0.99311775,0.99311775,0.99311775,1.112115,1.2253969,1.333634,1.3930417,1.4255381,1.0642513,1.083661,1.1085954,1.1160495,1.1608666,0.2,0.1,0.05,0.033333335,0.016666668,0.044136684,0.017077927,0.014863905,0.010309478,0.010166208,0.2,0.2,0.3,0.033333335,0.48333332,1.0,1.0,1.0,1.0,1.0,-0.8,-0.8,-0.7,-0.96666664,-0.51666665,-0.83436286,0.243695,0.2095884,0.16395971,0.32874194,-0.39683896,-0.49047267,0.0012080704,-0.01534226,0.13566129,0.2,0.3,0.4,0.33333334,0.45,0.8,0.7,0.6,0.6666667,0.55,-0.6,-0.4,-0.2,-0.33333334,-0.1,0.13109832,0.17763741,0.3433074,0.2691957,0.46633908,0.86890167,0.8223626,0.6566926,0.73080426,0.53366095,-0.73780334,-0.6447252,-0.31338522,-0.46160856,-0.06732186,0.63669693,0.8190679,0.79503363,0.77090245,0.8338912,0.22982399,0.3839911,0.2964932,0.25065827,0.28574252,1.5531964,1.6169951,1.6001835,1.4476032,1.4927794,0.76531917,0.5315877,0.5390878,0.50891095,0.50346553,0.23468086,0.46841228,0.46091226,0.49108908,0.49653447,0.5306383,0.063175455,0.078175515,0.01782186,0.0069310428
1,SZ300408,0.18866567992488142,1.0,,,,,,2026-07-10,-0.06656386,0.134597,-0.4945419,0.061567824,0.45742342,0.0064653205,0.048034653,-0.121666364,-0.9039307,1.0713105,1.1372688,0.99307364,1.0686458,1.1404154,1.2597295,1.0360397,1.0398185,0.48154756,1.0594505,1.1571444,1.1731627,1.1297895,0.9061647,0.04899566,0.1248161,0.10443815,0.10791277,0.2594418,-0.027978884,-0.038939334,-0.005232955,0.0043513644,0.013707313,0.81524026,0.89216936,0.08787062,0.12601055,0.8513822,-0.0034927442,0.018082596,-0.12344967,-0.19288422,-0.3105304,1.2128979,1.419513,1.419513,1.419513,1.419513,0.97764266,0.97764266,0.97764266,0.9446679,0.4946945,1.1046441,1.3123288,1.2653518,1.2315229,1.1437068,1.0212742,1.0478811,1.0921776,1.0341504,0.6608596,0.2,0.1,0.1,0.13333334,0.55,0.095034495,0.05059711,0.05059711,0.11652666,0.54638344,0.2,0.1,0.55,0.7,0.85,0.8,0.9,0.95,0.1,0.083333336,-0.6,-0.8,-0.4,0.6,0.76666665,-0.47589618,0.14492786,0.3558928,0.2748106,0.83959794,-0.5700412,-0.33009046,0.22329503,0.18145584,0.37413153,0.2,0.4,0.4,0.4,0.56666666,0.8,0.6,0.6,0.6,0.43333334,-0.6,-0.2,-0.2,-0.2,0.13333334,0.13742468,0.22764142,0.48261824,0.48704126,0.6160211,0.8625753,0.7723586,0.5173817,0.51295877,0.3839789,-0.72515064,-0.5447172,-0.034763493,-0.025917474,0.23204218,1.0080776,1.0422378,1.0439264,1.0323113,0.818215,0.17256398,0.15457676,0.13732451,0.14991777,0.31235442,0.7286604,1.0422972,1.1793461,1.104788,1.2976383,0.5445839,0.49537757,0.5386574,0.46558112,0.53536654,0.45541608,0.5046224,0.46134254,0.5344189,0.46463346,0.08916783,-0.0092448555,0.0773149,-0.06883778,0.07073307
2,SH600176,0.18003185849098266,0.9230769230769231,,,,SH600176,中国巨石,2026-07-10,-0.045906145,0.12555666,-0.3656209,0.07913664,0.6302863,0.0005138798,0.004092812,-0.12452891,-0.9918144,1.0481149,1.1310592,0.9994614,1.0665649,1.2728885,1.3307015,0.73734134,0.7806046,0.57382876,1.0566237,1.1617937,1.0945146,0.96169233,0.79980576,0.05930844,0.11970028,0.1681112,0.2353017,0.23529829,-0.031453412,-0.036818184,0.013129973,0.021577144,0.011419718,0.7031411,0.867253,0.21350221,0.6516877,0.71841115,0.006283147,0.003888074,-0.21924938,-0.27456093,-0.13668741,1.3069987,1.3822286,1.3859978,1.3859978,1.3859978,0.9700187,0.9700187,0.7416521,0.61274266,0.5518456,1.0908777,1.2731754,1.2714547,1.2263899,1.0492651,1.0051692,1.0443809,0.9762994,0.70154136,0.6152538,0.2,0.1,0.3,0.53333336,0.76666665,0.08897057,0.072733104,0.40094614,0.50081444,0.5372574,0.2,0.2,0.5,0.6666667,0.8333333,0.8,0.9,0.05,0.23333333,0.033333335,-0.6,-0.7,0.45,0.43333334,0.8,0.22032566,-0.15604632,0.16572879,0.49068895,0.6295688,0.80325365,0.5274411,-0.15942854,-0.0510779,0.024754701,0.2,0.3,0.6,0.56666666,0.65,0.8,0.7,0.4,0.43333334,0.35,-0.6,-0.4,0.2,0.13333334,0.3,0.12891206,0.22638792,0.6061529,0.5723438,0.60089916,0.8710879,0.7736121,0.39384708,0.42765614,0.39910084,-0.7421759,-0.54722416,0.21230581,0.14468768,0.20179832,0.93489397,0.9059945,0.87346905,0.819164,0.721504,0.087707624,0.10189421,0.13910139,0.15302096,0.16386452,0.34152278,0.4500566,0.50249654,0.6240905,0.8241234,0.56581813,0.5388581,0.53274524,0.53085655,0.5300136,0.43418184,0.4611419,0.4672548,0.46914348,0.4699864,0.13163629,0.077716194,0.06549044,0.06171305,0.060027212
3,SH603986,0.16531379164116286,0.9230769230769231,,,,SH603986,兆易创新,2026-07-10,-0.11046513,0.14649712,-0.7540431,0.029026132,0.19813451,0.007005844,0.0478224,-0.13248542,-0.90435517,1.124183,1.1568137,0.99212414,1.0933286,1.1074669,1.2581719,0.79003215,0.7892175,0.4277126,1.0303768,1.1360366,1.0850335,0.9879577,0.79060686,0.0436444,0.1391277,0.15933171,0.19083224,0.25546786,-0.006714089,-0.041638702,0.009241943,0.015791027,0.013505268,0.059163947,0.821067,0.117757946,0.53066313,0.852381,-0.016948575,0.0513375,-0.17283197,-0.2169276,-0.18901226,1.1568137,1.3834314,1.3834314,1.3834314,1.3834314,0.9624192,0.9624192,0.77885693,0.73220545,0.43464753,1.0721092,1.2755053,1.2588289,1.1386698,1.0316975,0.9971146,1.0104578,0.9799748,0.78936887,0.5119736,0.4,0.2,0.3,0.53333336,0.76666665,0.19332226,0.089262925,0.36578295,0.41121602,0.5958706,1.0,0.1,0.55,0.7,0.85,0.6,0.8,0.1,0.1,0.016666668,0.4,-0.7,0.45,0.6,0.8333333,-0.22397588,-0.5087929,0.06105152,0.30126908,0.42208436,-0.29920906,0.0024895405,-0.09746529,0.028132228,0.12868416,0.2,0.2,0.45,0.5,0.6,0.8,0.8,0.55,0.5,0.4,-0.6,-0.6,-0.1,0.0,0.2,0.3235896,0.31129244,0.5786375,0.56453556,0.6212206,0.6764104,0.6887076,0.42136252,0.43546444,0.37877938,-0.35282078,-0.37741512,0.15727495,0.12907112,0.24244124,0.7145444,0.6509784,0.6178861,0.5900901,0.5731684,0.16389947,0.13928373,0.11493105,0.11935074,0.12508376,0.62818676,0.5804658,0.5832103,0.6828492,0.76533854,0.7751169,0.703496,0.68452847,0.5624741,0.5529239,0.22488308,0.29650402,0.3154715,0.4375259,0.44707605,0.55023384,0.40699196,0.369057,0.12494819,0.10584789
4,SZ002625,0.15545931508123745,1.0,,,,,,2026-07-10,0.015300922,0.07718469,0.19823779,0.04624285,0.5991195,0.015640916,0.20264272,-0.015301014,-0.19823898,0.9849297,1.0455459,0.96952444,1.0091733,1.076343,1.0036212,1.2194058,1.4100899,1.2980307,1.0037304,1.0141178,1.0814922,1.139587,1.2438275,0.019809475,0.030882359,0.108610295,0.12480904,0.13936745,-0.008904221,-0.0016006103,-0.014957183,-0.012698735,-0.006757513,0.50510997,0.024624178,0.66378224,0.8022884,0.7170525,0.014078076,-0.006915039,0.060601067,0.044544667,-0.044480808,1.0984399,1.0984399,1.3184472,1.4211473,1.4515729,0.9487388,0.9487388,0.9487388,0.9487388,0.9487388,1.0149115,1.0355475,1.1676273,1.2788929,1.351208,0.98878914,0.98878914,1.002897,1.0143063,1.0572449,0.6,0.4,0.2,0.13333334,0.06666667,0.34242362,0.34242362,0.13865307,0.108510345,0.10194458,0.2,0.6,0.05,0.033333335,0.5,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.3,-0.9,-0.93333334,-0.48333332,0.18893212,0.29217657,-0.057800002,-0.12698378,-0.13868864,0.8238386,0.63538814,0.02638845,0.07096359,0.25010377,0.4,0.5,0.35,0.33333334,0.43333334,0.6,0.5,0.65,0.6666667,0.55,-0.2,0.0,-0.3,-0.33333334,-0.11666667,0.14620662,0.49365982,0.33395892,0.2969893,0.41470265,0.8537934,0.5063402,0.6660411,0.70301074,0.58529735,-0.70758677,-0.012680366,-0.33208218,-0.40602142,-0.17059466,0.6761039,0.7862914,0.89297307,0.8413544,0.79047,0.2137536,0.21270299,0.3799706,0.33270606,0.32392916,0.6948222,0.7010406,1.3187973,1.2657406,1.3182524,0.52806437,0.5132691,0.5461226,0.48423404,0.51656705,0.4719356,0.4867309,0.45387736,0.51576596,0.48343298,0.05612878,0.02653821,0.09224526,-0.03153193,0.033134047
5,SZ002709,0.13160005676116338,0.9230769230769231,,,,,,2026-07-10,-0.079926476,0.10197522,-0.7837833,0.01837391,0.18018016,0.0036748296,0.0360365,-0.094625555,-0.927927,1.0868697,1.1068397,0.99600595,1.0522505,1.3489909,1.2483809,1.2096953,1.2953197,1.1595612,1.1215761,1.224023,1.2696674,1.258688,1.3147551,0.107147075,0.13300128,0.11244862,0.09681717,0.1170809,-0.06480528,-0.03597373,-0.009923466,-0.002029241,-0.002410862,0.91453457,0.6706112,0.27257532,0.034045853,0.12932202,0.008034448,-0.062141217,-0.17539452,-0.229264,-0.2436347,1.3177862,1.4178755,1.4206331,1.4206331,1.6220746,0.99600595,0.99600595,0.99600595,0.99600595,0.99600595,1.2258735,1.3511372,1.3615673,1.3489909,1.412395,1.0279684,1.0974591,1.2235736,1.2072484,1.2235736,0.2,0.1,0.05,0.033333335,0.016666668,0.012412385,0.009467524,0.009406043,0.009406043,0.0063795894,0.2,0.4,0.4,0.6,0.23333333,1.0,1.0,1.0,1.0,1.0,-0.8,-0.6,-0.6,-0.4,-0.76666665,-0.7694907,-0.16281375,0.037452675,0.13861261,0.43282512,-0.9224967,-0.32670772,0.011424775,0.06506293,0.11361816,0.2,0.5,0.5,0.46666667,0.46666667,0.8,0.5,0.5,0.53333336,0.53333336,-0.6,0.0,0.0,-0.06666667,-0.06666667,0.035860576,0.2595449,0.4008916,0.38643804,0.4712323,0.9641394,0.7404551,0.5991084,0.613562,0.5287677,-0.92827886,-0.4809102,-0.19821678,-0.22712393,-0.057535425,0.8245028,0.8351865,0.8692843,0.78063524,0.8801526,0.26120007,0.23399328,0.19944,0.21502641,0.23406957,0.6167747,0.8891285,0.8454953,0.9992107,0.92582184,0.6113119,0.53226775,0.5243247,0.5293139,0.50736463,0.38868806,0.46773228,0.47567526,0.4706861,0.4926354,0.22262385,0.06453546,0.04864946,0.05862779,0.014729212
6,SH600160,0.11975915753183225,0.8461538461538461,,,,SH600160,巨化股份,2026-07-10,-0.055470943,0.078747004,-0.70441973,0.021753324,0.2762432,0.0015227336,0.019337038,-0.075701535,-0.96132594,1.0587287,1.0817596,0.9983878,1.0326059,1.1365823,1.1734203,0.94427997,0.7886949,0.77226883,1.0629748,1.1460475,1.1204249,1.0370876,0.9173447,0.046432476,0.10042538,0.08675777,0.14193316,0.15761417,-0.027272163,-0.030455405,0.0023002282,0.012314086,0.007517811,0.86245304,0.8430498,0.024603289,0.5833623,0.6938924,-0.008430465,-0.008998111,-0.14227708,-0.2156418,-0.1391201,1.1692913,1.3358064,1.3358064,1.3358064,1.3358064,0.9983878,0.9983878,0.9465767,0.7533264,0.72139966,1.0841677,1.243811,1.1829096,1.1686897,1.0762405,1.0423858,1.0581355,1.0581355,0.8824647,0.78801453,0.2,0.1,0.1,0.4,0.7,0.0094331745,0.0047779293,0.13725391,0.42348853,0.45344612,0.2,0.4,0.7,0.8,0.9,1.0,1.0,0.05,0.033333335,0.38333333,-0.8,-0.6,0.65,0.76666665,0.51666665,-0.09640523,0.66539866,0.12622017,0.51628006,0.7360578,-0.6827889,0.09918453,-0.18284233,0.26549563,0.4123496,0.2,0.3,0.55,0.56666666,0.5,0.8,0.7,0.45,0.43333334,0.5,-0.6,-0.4,0.1,0.13333334,0.0,0.043097973,0.30663916,0.53028715,0.58506346,0.56471896,0.956902,0.69336087,0.46971282,0.4149365,0.43528104,-0.91380405,-0.3867217,0.060574323,0.17012694,0.12943791,0.8447315,1.0228826,1.1199483,1.042714,0.75826436,0.13186719,0.22792168,0.22478458,0.26410553,0.3668587,0.94568473,0.93733376,0.92182195,0.9135672,1.2222861,0.34485546,0.50907373,0.46486652,0.5368131,0.5308686,0.6551445,0.4909263,0.5351335,0.46318692,0.46913144,-0.31028906,0.018147428,-0.07026695,0.07362617,0.061737143
7,SZ300661,0.11273912594364298,0.9230769230769231,,,,,,2026-07-10,-0.06578948,0.09248119,-0.7113824,0.024812045,0.2682929,0.0018796549,0.020324728,-0.08872188,-0.9593505,1.0704225,1.0969819,0.997988,1.048036,1.1235478,1.0587591,0.8468436,0.9778693,0.59906894,1.0525919,1.0863714,1.066878,1.0021526,0.8893647,0.038205348,0.048582308,0.06406442,0.10833684,0.16103062,-0.014230787,-0.010934758,0.0040068654,0.009612363,0.008520849,0.3468562,0.46438003,0.13691269,0.61011213,0.853982,-0.024130322,-0.037164982,-0.10494313,-0.14153181,-0.14072976,1.1418976,1.2225428,1.2225428,1.2225428,1.2225428,0.986562,0.986562,0.8452355,0.8189936,0.59810084,1.0871847,1.1274111,1.1077691,1.103986,1.0607226,1.0312334,1.0431588,1.0364662,0.8765242,0.7163105,0.2,0.1,0.15,0.43333334,0.71666664,0.08650923,0.056945153,0.41018164,0.4485362,0.64361334,0.2,0.4,0.7,0.8,0.9,0.6,0.8,0.05,0.23333333,0.016666668,-0.4,-0.4,0.65,0.56666666,0.8833333,-0.09803612,0.5903269,-0.39280403,-0.14599286,-0.44188172,-0.81183106,0.075220026,0.12365172,-0.012740916,0.271438,0.4,0.5,0.7,0.6,0.6666667,0.6,0.5,0.3,0.4,0.33333334,-0.2,0.0,0.4,0.2,0.33333334,0.21435323,0.43014976,0.603366,0.51002467,0.6123056,0.78564674,0.56985027,0.396634,0.48997533,0.3876944,-0.57129353,-0.13970047,0.206732,0.020049326,0.2246112,1.0143402,1.1665384,1.2018449,1.2060597,1.5201621,0.15804237,0.24604906,0.32225758,0.34211242,0.59680355,0.70062286,0.6304345,0.86026365,0.9585583,1.1049562,0.3176331,0.47117582,0.5059187,0.48769635,0.49435917,0.6823669,0.5288242,0.49408135,0.51230365,0.50564086,-0.36473382,-0.057648376,0.011837312,-0.024607299,-0.011281694
8,SZ000807,0.10814491976656818,0.8461538461538461,,,,,,2026-07-10,0.03811657,0.073542595,0.5182924,0.02197309,0.29878044,0.013452936,0.18292713,0.029596418,0.40243912,0.96328294,1.0211663,0.950324,0.991362,0.96846175,0.9710563,1.1761993,1.2250346,1.4630996,0.9730282,0.96723944,1.0239536,1.0837139,1.2283788,0.021378651,0.022587156,0.07776305,0.11128811,0.17788878,0.00018449097,0.00080859277,-0.010988568,-0.011710531,-0.009917256,0.00018617856,0.01174757,0.6988817,0.8581385,0.9479509,0.026602862,0.029121922,0.08043785,0.086088814,0.064180344,1.0211663,1.0215694,1.2440283,1.3140132,1.5682752,0.9166303,0.9166303,0.9166303,0.9166303,0.9166303,0.9906366,0.9906366,1.0831873,1.184179,1.384917,0.96042436,0.94478786,0.96258074,0.9681966,1.0307311,1.0,0.9,0.5,0.33333334,0.16666667,0.79752135,0.79445845,0.25464317,0.20979679,0.12793726,1.0,0.1,0.05,0.13333334,0.06666667,0.8,0.9,0.95,0.96666664,0.98333335,0.2,-0.8,-0.9,-0.8333333,-0.9166667,0.6814269,0.4929639,0.5171948,-0.23910245,-0.54433846,0.6243159,0.47907773,0.32157543,0.20748731,0.20997737,0.4,0.4,0.35,0.4,0.38333333,0.6,0.6,0.65,0.6,0.6166667,-0.2,-0.2,-0.3,-0.2,-0.23333333,0.63479525,0.5617314,0.37985528,0.390874,0.39355388,0.36520475,0.43826857,0.6201447,0.60912603,0.60644615,0.2695905,0.12346283,-0.24028948,-0.218252,-0.21289226,0.7237199,0.72385657,0.8031323,0.72477007,0.6418139,0.20526613,0.14605717,0.16571945,0.18860523,0.19582085,1.073042,0.8806726,0.74182177,0.8483821,0.9245961,0.6028843,0.58926713,0.5831023,0.54158425,0.53381413,0.3971157,0.4107329,0.41689768,0.45841572,0.46618587,0.20576857,0.17853422,0.16620462,0.08316856,0.067628264
9,SZ002422,0.10566559888896629,0.7692307692307693,,,,,,2026-07-10,0.054054037,0.098062634,0.5512195,0.03778998,0.38536578,0.0062186136,0.06341471,0.022482669,0.22926846,0.94871795,1.0358521,0.9428182,1.0010775,1.0887232,0.8077923,0.8640837,0.7946401,0.7757009,0.99881786,0.98127437,0.9059169,0.871616,0.81488055,0.05054363,0.07103943,0.09231332,0.09153956,0.08835055,-0.01867921,0.009617182,0.012621964,0.008423257,0.0038550687,0.3414477,0.16799961,0.65432453,0.65621185,0.5806917,0.038540572,-0.024551697,-0.025825607,0.0062467614,0.07139492,1.1976514,1.1976514,1.1976514,1.1976514,1.1976514,0.9353165,0.8141656,0.7846586,0.75446707,0.6875358,1.016612,1.028941,0.9916569,0.9558272,0.8519032,0.965631,0.9392214,0.8257783,0.80620784,0.75302345,0.8,0.7,0.85,0.9,0.95,0.24656843,0.48459265,0.5214168,0.5540198,0.612536,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.25,0.26666668,0.36666667,-0.6,0.5,0.55,0.6,0.56666666,0.83369416,0.8092344,0.8938793,0.8827577,0.8311747,0.53821814,0.55965084,0.4834439,0.47801775,0.5041124,0.4,0.6,0.5,0.53333336,0.5,0.6,0.4,0.5,0.46666667,0.5,-0.2,0.2,0.0,0.06666667,0.0,0.2583853,0.6946899,0.6062203,0.6179775,0.5838113,0.7416147,0.30531007,0.39377967,0.3820225,0.41618872,-0.48322943,0.38937986,0.21244065,0.23595503,0.16762255,1.0526855,0.9696953,0.6767675,0.58191836,0.4650568,0.20243055,0.211825,0.34371468,0.31670153,0.26769006,1.014283,0.69220674,1.1643497,1.2360107,1.4122822,0.48387384,0.692958,0.59522897,0.5802035,0.53904766,0.51612616,0.307042,0.40477103,0.41979653,0.46095237,-0.032252327,0.385916,0.19045797,0.16040695,0.078095265
