,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ000001,0.05639528895048779,0.9090909090909091,,,,,,2026-08-25,0.0017286296,0.009507345,0.18182042,0.004321574,0.45455107,0.0034571418,0.3636285,0.0008641973,0.09089786,0.9982743,1.0043141,0.99482316,0.9992847,0.95341074,0.9715288,0.9663522,0.92235124,0.91802496,0.98757625,0.97489357,0.9785603,0.9678189,0.9406914,0.011258984,0.016224908,0.015691059,0.021314906,0.035303812,0.0069021056,0.004104663,-0.00042230068,0.0014558549,0.0013727957,0.9395173,0.58668107,0.025351703,0.36155218,0.4611778,-0.0013804352,0.00663542,0.025451511,0.011071176,0.018811135,1.0043141,1.0043141,1.0060395,1.0060395,1.0060395,0.9551353,0.95168513,0.95168513,0.91717356,0.8619507,0.9979294,0.9870585,0.9979294,0.9849879,0.9717014,0.98136437,0.9584148,0.9696307,0.9522029,0.90664274,1.0,1.0,0.85,0.9,0.95,0.9122769,0.91802776,0.88888615,0.9320378,0.9580847,1.0,1.0,0.2,0.46666667,0.73333335,0.2,0.5,0.75,0.033333335,0.35,0.8,0.5,-0.55,0.43333334,0.38333333,-0.4562097,0.42399144,0.55620956,0.26910612,0.2426903,0.8833069,0.51044285,0.45364532,0.33812055,0.32794097,1.0,0.5,0.5,0.6,0.56666666,0.0,0.4,0.45,0.36666667,0.41666666,1.0,0.1,0.05,0.23333333,0.15,1.0,0.71999973,0.60893846,0.66544116,0.57362497,0.0,0.28000024,0.3910615,0.3345588,0.426375,1.0,0.4399995,0.21787697,0.33088234,0.14725,1.1404585,0.96819025,1.167039,1.1621387,1.1383504,0.21425653,0.24224953,0.5127935,0.44583195,0.36559147,0.9145577,1.2191857,1.5679648,1.3900036,1.0831149,0.5544051,0.57689816,0.4952082,0.48939255,0.5002875,0.44559494,0.42310184,0.5047918,0.5106075,0.49971253,0.10881013,0.1537963,-0.009583616,-0.02121491,0.00057495834
1,SH601998,0.052166195068140075,0.7272727272727273,,,,SH601998,中信银行,2026-08-25,-0.008158533,0.02097901,-0.38889027,0.009324038,0.44444603,0.0034964392,0.16666369,-0.013986132,-0.66667265,1.0082257,1.0176264,0.9964748,1.0059451,0.91796875,0.8839286,0.91294646,0.8638393,0.8515625,0.9857143,0.9453125,0.92360497,0.9105655,0.8833613,0.018810851,0.04477443,0.040537126,0.038961742,0.04301773,0.011104905,0.014184256,0.0043207896,0.0032024668,0.001572687,0.87127,0.9199503,0.39763844,0.5235934,0.40765184,-0.007924125,-0.009141669,0.035347562,0.04299873,0.070244476,1.0176264,1.0176264,1.0176264,1.0176264,1.0176264,0.9175844,0.87695754,0.86844796,0.8556368,0.80506796,1.0012277,0.98883927,0.96250004,0.92924106,0.9069197,0.973884,0.90401787,0.8872768,0.88314736,0.8448661,0.8,0.9,0.95,0.96666664,0.98333335,0.8238101,0.87469596,0.8818436,0.8911882,0.91707516,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.4,0.033333335,0.35,0.8,0.9,0.6,0.96666664,0.65,0.055203382,0.89911634,0.7618918,0.46221432,0.09890325,0.71036863,0.74181646,0.43920302,0.3852903,0.4274301,0.8,0.8,0.55,0.6,0.56666666,0.2,0.2,0.35,0.3,0.36666667,0.6,0.6,0.2,0.3,0.2,0.9349107,0.9444439,0.68483394,0.7081909,0.6100992,0.06508926,0.055556104,0.31516603,0.2918091,0.3899008,0.8698215,0.8888878,0.36966795,0.4163818,0.22019841,0.84820455,0.62561184,0.58676803,0.6033614,0.64869505,0.16285081,0.25951713,0.20337133,0.18318316,0.19499451,0.8461996,1.1994224,1.1126695,1.079222,1.130764,0.71992284,0.7234705,0.59994847,0.54782796,0.510026,0.28007716,0.27652952,0.40005153,0.45217207,0.489974,0.43984568,0.446941,0.19989695,0.095655866,0.020052005
2,SH601988,0.046699904169606475,1.0,,,,SH601988,中国银行,2026-08-25,0.0,0.014658057,0.0,0.009772001,0.6666641,0.0048860563,0.33333588,-0.004885945,-0.33332825,1.0,1.009772,0.99511397,1.0018368,0.98209876,0.95740736,0.9932099,0.9561729,0.94567895,0.9917284,0.9777778,0.9697222,0.97010285,0.95779836,0.007032697,0.017522385,0.021697562,0.019480288,0.028513318,0.0032716019,0.005319872,0.0011719125,0.0004184357,0.00044058936,0.5410246,0.84494287,0.10210254,0.035757605,0.07282363,0.0017283871,-0.001717199,0.01914462,0.023829814,0.02920428,1.009772,1.009772,1.009772,1.009772,1.009772,0.97704315,0.9428689,0.92844677,0.92844677,0.8786522,0.9985185,0.9917284,0.9876543,0.9876543,0.9827161,0.9851852,0.96037036,0.9475308,0.9490123,0.9382716,1.0,1.0,0.975,0.98333335,0.975,0.70142543,0.85393804,0.8798405,0.8798405,0.9254727,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.3,0.53333336,0.4,0.6,0.9,0.7,0.46666667,0.6,0.38085145,0.44963962,0.16994108,0.17788367,0.10411539,0.980889,0.78056324,0.25486526,0.31690082,0.27434257,0.6,0.6,0.5,0.56666666,0.5,0.2,0.3,0.45,0.4,0.48333332,0.4,0.3,0.05,0.16666667,0.016666668,0.8222223,0.7315434,0.5150684,0.5613125,0.5336907,0.1777777,0.26845658,0.4849316,0.4386875,0.46630934,0.64444464,0.46308684,0.030136833,0.12262499,0.06738132,1.0277652,0.99188197,1.1485108,1.1855274,1.2179228,0.25701246,0.25462192,0.34971362,0.3609755,0.31044444,0.968876,0.91798776,0.8987725,0.95852387,0.8298018,0.36669758,0.5390517,0.4834575,0.48816478,0.49607378,0.63330245,0.4609483,0.5165425,0.5118352,0.5039262,-0.26660487,0.07810341,-0.03308501,-0.023670409,-0.00785242
3,SH601169,0.046649657618220076,0.7272727272727273,,,,SH601169,北京银行,2026-08-25,-0.0058026817,0.011605463,-0.49999568,0.0038685212,0.3333362,0.0019342606,0.1666681,-0.0077369423,-0.66666377,1.0058366,1.0097276,0.99805444,1.0024846,0.9649123,0.9746174,0.9902949,0.9746174,0.9507279,0.99156404,0.97961926,0.9858529,0.9858778,0.9623864,0.011660244,0.015150397,0.017294798,0.014383214,0.028903387,0.00675625,0.0041082706,-0.0010109253,-0.00028458424,0.001112872,0.8393366,0.67403346,0.119584575,0.030339722,0.4521607,-0.005076515,0.0018935244,0.023750864,0.018248664,0.0047838218,1.0097276,1.0097276,1.0233806,1.0233806,1.0233806,0.9651814,0.9611003,0.9611003,0.9611003,0.8955656,1.0011945,0.9922359,1.0011945,0.99626726,0.98842853,0.983128,0.9649123,0.9738709,0.9746174,0.93952966,0.8,0.9,0.8,0.8666667,0.93333334,0.7816279,0.7999552,0.62459064,0.62459064,0.8170746,1.0,1.0,0.2,0.46666667,0.73333335,0.2,0.4,0.7,0.8,0.33333334,0.8,0.6,-0.5,-0.33333334,0.4,0.64990526,0.8513625,0.82717323,0.7174513,0.22848393,0.842258,0.71872526,0.45775256,0.4313457,0.3161616,0.8,0.5,0.5,0.5,0.48333332,0.2,0.4,0.4,0.36666667,0.43333334,0.6,0.1,0.1,0.13333334,0.05,0.8730157,0.7098757,0.5349463,0.557627,0.5510836,0.1269843,0.2901243,0.46505368,0.44237295,0.4489164,0.7460314,0.4197514,0.06989265,0.11525408,0.102167204,1.061212,0.8453014,1.0026026,1.0312841,1.0259926,0.3109423,0.31888103,0.3705247,0.3500471,0.28333086,0.76614547,1.1657073,1.2081586,1.1248183,0.9905591,0.6166236,0.5696244,0.51214164,0.4891797,0.49858114,0.38337645,0.43037558,0.48785836,0.5108203,0.5014189,0.2332471,0.13924883,0.024283309,-0.021640604,-0.0028377443
4,SH601229,0.04639470421143697,0.8181818181818182,,,,SH601229,上海银行,2026-08-25,-0.020161314,0.02620973,-0.76923007,0.003024209,0.115384966,0.003024209,0.115384966,-0.020161314,-0.76923007,1.0205761,1.0236626,0.99691355,1.0049957,0.9804917,0.9494923,0.96392304,0.929984,0.9302512,1.0068413,0.986558,0.97533405,0.96422595,0.9455951,0.0067118504,0.022969607,0.021839386,0.024495445,0.027496295,-0.00053448486,0.006878513,0.002094895,0.0021699981,0.0011087097,0.015853543,0.82204086,0.32204142,0.6082046,0.4958921,-0.005772319,-0.017511318,0.004764433,0.004309105,0.021697998,1.0257885,1.0257885,1.0257885,1.0257885,1.0257885,0.9806095,0.94450814,0.94041926,0.9218469,0.8859404,1.0129343,1.0058793,1.0004276,0.98578304,0.9658472,1.0017103,0.96696955,0.9546232,0.9412614,0.92602885,0.2,0.6,0.8,0.8666667,0.93333334,0.42919242,0.6827213,0.69791794,0.7518941,0.81559616,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.4,0.033333335,0.31666666,0.6,0.8,0.55,0.93333334,0.6666667,0.26477355,0.36584935,0.4314054,0.33195132,0.5453123,0.75670683,0.7327609,0.41015297,0.3929722,0.3772532,0.6,0.8,0.65,0.6666667,0.56666666,0.4,0.2,0.35,0.33333334,0.4,0.2,0.6,0.3,0.33333334,0.16666667,0.63773584,0.7480313,0.5882353,0.6155203,0.5579742,0.3622642,0.25196865,0.41176465,0.38447973,0.44202575,0.27547163,0.4960627,0.17647068,0.23104055,0.11594847,1.2322086,1.1201521,1.0910465,1.085716,0.946513,0.53071713,0.40742305,0.341958,0.31678405,0.27791616,0.9010452,1.0626198,0.92706394,0.92409885,0.9098191,0.490644,0.53782785,0.45938438,0.5003461,0.50140715,0.50935596,0.46217212,0.5406156,0.4996539,0.49859285,-0.018711973,0.075655736,-0.081231266,0.00069220294,0.002814309
5,SH600010,0.04288130255961858,1.0,,,,SH600010,包钢股份,2026-08-25,0.0044642664,0.022321412,0.19999927,0.01339288,0.60000145,0.0044642664,0.19999927,-0.0044643474,-0.20000291,0.9955556,1.0133333,0.99111116,0.9997223,0.9867725,0.9957672,0.96455026,0.9867725,1.0534391,0.98222226,0.98624337,0.99179894,0.9825397,1.002769,0.018498095,0.0136293955,0.014447743,0.01911288,0.042593926,0.010634916,-3.8478964e-05,-0.00040975437,0.001151662,-0.0014292329,0.8263312,7.306426e-05,0.028152386,0.28138405,0.34340808,-0.0034920666,0.013929761,0.012093721,0.0007612166,0.03939341,1.0133333,1.0133333,1.0310035,1.0310035,1.1201059,0.96010536,0.96010536,0.96000004,0.9378831,0.9068733,1.0008465,0.99661374,1.0008465,1.0,1.0372486,0.9679365,0.9725926,0.9777778,0.96455026,0.9725926,0.8,0.9,0.75,0.8333333,0.625,0.7495048,0.7495048,0.56335294,0.66706055,0.4367379,1.0,1.0,0.4,0.6,0.23333333,0.2,0.6,0.05,0.1,0.45,0.8,0.4,0.35,0.5,-0.21666667,0.76178133,0.39594817,0.5944657,0.34137765,0.53666925,0.39781162,0.36314955,0.3969335,0.48335835,0.31649128,0.6,0.4,0.5,0.46666667,0.45,0.4,0.5,0.4,0.46666667,0.46666667,0.2,-0.1,0.1,0.0,-0.016666668,0.6,0.5206187,0.5827161,0.5182482,0.4745848,0.4,0.47938135,0.4172839,0.48175183,0.52541524,0.2,0.041237317,0.16543221,0.036496367,-0.05083043,1.0996132,0.91740394,1.0650334,1.0622423,1.3785332,0.54276466,0.4243802,0.41756672,0.36178556,0.5764119,1.3563532,1.5137476,1.105209,0.91918653,1.339022,0.57310414,0.4733632,0.5166789,0.4439308,0.5016064,0.42689583,0.52663684,0.4833211,0.5560692,0.4983936,0.14620832,-0.053273644,0.033357807,-0.11213842,0.003212813
6,SH600050,0.037274140179549824,0.8181818181818182,,,,SH600050,中国联通,2026-08-25,0.018823512,0.02352939,0.8,0.002352939,0.1,0.002352939,0.1,0.018823512,0.8,0.9815243,1.0023094,0.9792148,0.99523425,0.9925742,0.9975248,1.0259901,0.9727723,1.0037129,0.980198,0.9878713,1.0026609,1.0045792,0.9866543,0.013415525,0.012414684,0.021050233,0.019376371,0.029072292,0.0074257427,-0.0013651341,-0.002958199,-0.0009722016,0.00051427213,0.76595724,0.11083854,0.6912085,0.19510546,0.095439315,0.004950478,0.018271806,0.025441991,0.00951771,-0.0018253312,1.0023094,1.007095,1.0483421,1.0483421,1.0483421,0.94670796,0.94670796,0.94670796,0.94670796,0.9074368,0.98514855,0.9980198,1.0227723,1.0210396,1.0116336,0.9727723,0.980198,0.99034655,0.9883663,0.9611386,1.0,0.9,0.575,0.48333332,0.7083333,0.95846397,0.8825082,0.5243515,0.5243515,0.65691763,1.0,0.3,0.25,0.5,0.75,0.2,0.6,0.8,0.8666667,0.31666666,0.8,-0.3,-0.55,-0.36666667,0.43333334,-0.4220597,-0.51919997,0.30302444,0.24583626,0.2452123,-0.6225263,-0.5734205,-0.36665013,-0.12835248,0.037340164,0.6,0.4,0.35,0.43333334,0.43333334,0.4,0.5,0.6,0.5,0.5,0.2,-0.1,-0.25,-0.06666667,-0.06666667,0.54687506,0.5119045,0.43478277,0.54741365,0.49658313,0.45312494,0.48809552,0.5652172,0.45258632,0.50341684,0.093750134,0.02380898,-0.13043445,0.09482734,-0.006833725,1.147129,1.0048071,1.1064717,1.174789,1.1364958,0.46765915,0.35314953,0.3299292,0.37208313,0.31859162,0.9511076,1.2957532,1.0467451,1.242183,1.1449479,0.5523551,0.5550279,0.46895552,0.48916414,0.49295214,0.4476449,0.44497207,0.5310445,0.5108358,0.5070479,0.10471022,0.11005586,-0.06208898,-0.021671688,-0.014095752
7,SH601018,0.035326964399183904,0.7272727272727273,,,,SH601018,宁波港,2026-08-25,0.0029069935,0.011627888,0.25000185,0.005813987,0.5000037,0.0029069073,0.24999444,-8.6225114e-08,-7.4153722e-06,0.9971014,1.0057971,0.994203,1.0003968,0.96565664,0.9737374,0.98989904,0.9717172,1.0181818,0.98828286,0.9771717,0.98474747,0.9858586,0.9713805,0.008378367,0.01305945,0.016366003,0.013691405,0.02381977,0.0042424286,0.0038567453,-0.0012014898,-0.00049257936,0.00048711622,0.6409886,0.7994726,0.18863532,0.10031321,0.12755276,0.0032323059,0.005472907,0.026666654,0.021283789,0.014249575,1.0057971,1.0057971,1.0239835,1.0239835,1.0239835,0.9664253,0.956957,0.956957,0.956957,0.8953978,0.9951516,0.9858586,0.9983839,0.9947475,0.99030304,0.9830303,0.96565664,0.96888894,0.97333336,0.95151514,1.0,1.0,0.85,0.9,0.925,0.8527593,0.88130397,0.6421794,0.6421794,0.81348264,1.0,1.0,0.2,0.46666667,0.73333335,0.2,0.1,0.55,0.7,0.31666666,0.8,0.9,-0.35,-0.23333333,0.41666666,-0.32725462,0.42251536,0.4390251,0.33668396,0.22875193,0.87011856,0.31823894,0.3373149,0.3207821,0.100259006,0.6,0.5,0.45,0.5,0.53333336,0.2,0.3,0.4,0.36666667,0.38333333,0.4,0.2,0.05,0.13333334,0.15,0.9047618,0.7096769,0.5316454,0.5603448,0.48442903,0.095238194,0.29032308,0.46835458,0.43965518,0.51557094,0.80952364,0.41935387,0.06329085,0.12068961,-0.031141922,1.2992817,1.1288048,1.1172614,1.1618689,1.1406099,0.32050207,0.3109664,0.25452167,0.35535866,0.29918817,1.0918385,1.2318271,0.96419954,0.94201976,0.92025703,0.54774743,0.5392527,0.51166,0.4866621,0.4741684,0.4522526,0.4607473,0.48834005,0.5133379,0.5258316,0.09549482,0.07850542,0.023319922,-0.026675796,-0.051663198
8,SH601607,0.03470319284517269,0.8181818181818182,,,,SH601607,上海医药,2026-08-25,0.0067651374,0.013530162,0.5000042,0.0,0.0,0.0067650247,0.49999583,0.013530162,1.0,0.99328035,1.0,0.98656076,0.99569786,1.0036638,1.0195582,1.0049031,0.9938039,0.9836207,0.9991487,1.0055549,1.0118212,1.0125916,0.98746854,0.011749657,0.011736139,0.011878678,0.0111114895,0.029164696,-0.0028717646,-0.0027112714,-0.0013512765,-0.0005611477,0.0011545818,0.14934383,0.4892231,0.45291877,0.19765666,0.4780071,0.006594819,0.0066457693,0.0010160179,-0.004454943,-0.021528726,1.0232241,1.0305518,1.0366621,1.0415328,1.0415328,0.9792346,0.9792346,0.9792346,0.9792346,0.89810616,1.0035453,1.014278,1.0218749,1.0217564,1.0160129,0.9890086,0.9978017,1.002931,1.0036638,0.9637823,0.7,0.35,0.175,0.11666667,0.55833334,0.47205305,0.40464827,0.36159366,0.33332315,0.71042526,0.4,0.2,0.45,0.16666667,0.5833333,0.8,0.9,0.95,0.96666664,0.31666666,-0.4,-0.7,-0.5,-0.8,0.26666668,0.16606268,0.15280105,0.28947377,0.42241123,0.28159136,-0.047849763,0.18513687,0.31762236,0.2756829,0.2671366,0.4,0.3,0.4,0.43333334,0.46666667,0.4,0.6,0.55,0.53333336,0.5,0.0,-0.3,-0.15,-0.1,-0.033333335,0.47001794,0.4059099,0.48597836,0.5112064,0.5132243,0.5299821,0.5940901,0.51402164,0.4887936,0.4867757,-0.05996413,-0.18818022,-0.028043276,0.022412758,0.026448607,1.2959086,1.2071753,1.233357,1.3724744,1.2660915,0.40681607,0.34191713,0.26056755,0.45714518,0.43731147,1.135712,1.0913728,1.0451536,0.9361643,0.97712207,0.53284913,0.48393723,0.50885516,0.4187607,0.49847144,0.46715084,0.5160628,0.49114487,0.5812393,0.50152856,0.06569832,-0.03212554,0.017710274,-0.16247861,-0.0030571094
9,SH601825,0.033819588267086614,0.6363636363636364,,,,SH601825,沪农商行,2026-08-25,-0.012331914,0.025784701,-0.47826478,0.00560531,0.217389,0.007847476,0.30434623,-0.010089748,-0.39130753,1.0124859,1.0181612,0.9920545,1.00353,0.9715719,0.93812716,0.94899666,0.9030101,0.95819396,0.99698997,0.9827759,0.9711121,0.9572464,0.93723524,0.010519855,0.019625386,0.0235203,0.028868794,0.041836586,0.005100334,0.005776829,0.0018815831,0.0025572814,0.0007932337,0.5876487,0.7942442,0.22399026,0.60813695,0.109645225,-0.007190651,-0.008771672,0.011012889,0.0056730113,0.03936434,1.0181612,1.0181612,1.0181612,1.0181612,1.0181612,0.9619977,0.9298193,0.9298193,0.8942879,0.83551556,1.0023412,0.9966555,0.99498326,0.9839465,0.9764215,0.9924749,0.9707358,0.94565225,0.93511707,0.8964883,0.8,0.9,0.95,0.96666664,0.98333335,0.6766373,0.79442155,0.79442155,0.8533891,0.900566,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.55,0.033333335,0.35,0.8,0.9,0.45,0.96666664,0.65,0.013699817,0.26693353,0.5802749,0.42199188,0.035778806,0.17239735,0.6859459,0.67568433,0.65170896,0.34045416,0.6,0.6,0.45,0.5,0.48333332,0.4,0.4,0.55,0.5,0.48333332,0.2,0.2,-0.1,0.0,0.0,0.76562434,0.7846147,0.60132885,0.64077663,0.5288684,0.23437569,0.21538533,0.39867115,0.35922337,0.47113165,0.5312486,0.5692293,0.2026577,0.28155327,0.05773672,0.8650203,0.9390565,0.93020844,0.9144744,0.8434605,0.13600567,0.28507185,0.3075973,0.2988342,0.26274195,0.5609503,0.77953357,1.0525652,1.1234478,1.0857694,0.62744987,0.5921952,0.53111434,0.5163824,0.510106,0.3725501,0.40780482,0.4688857,0.4836176,0.48989397,0.25489977,0.18439038,0.06222863,0.032764807,0.020212045
