,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ300059,0.0707316253572779,0.8823529411764706,-0.034445107,0.10517673234046271,0.10517673234046271,SZ300059,东方财富,2026-06-22,41.146984,41.816765
1,1,SH600030,0.0621579080723779,0.8823529411764706,-0.015180886,0.07733879386415646,0.07733879386415646,SH600030,中信证券,2026-06-22,51.33747,52.207886
2,2,SH601916,0.0412598679207362,0.9411764705882352,-0.02352941,0.06478927828297985,0.06478927828297985,SH601916,浙商银行,2026-06-22,0.23819174,0.23783691
3,3,SH600919,0.0333638975964431,0.7058823529411765,-0.014736831,0.048100728784645004,0.048100728784645004,SH600919,江苏银行,2026-06-22,0.3897206,0.39299002
4,4,SH601985,0.031729108092094,1.0,-0.024324358,0.056053465601707035,0.056053465601707035,SH601985,中国核电,2026-06-22,0.57295245,0.5742672
5,5,SH601058,0.0235835438563065,0.5882352941176471,-0.015349925,0.03893346842066807,0.03893346842066807,SH601058,赛轮轮胎,2026-06-22,3.7525537,3.7846372
6,6,SH601668,0.0204060253057532,0.7058823529411765,-0.01935482,0.03976084555721804,0.03976084555721804,SH601668,中国建筑,2026-06-22,0.60411125,0.6058517
7,7,SH601607,0.0197612504305678,0.7647058823529411,-0.016068637,0.03582988780163103,0.03582988780163103,SH601607,上海医药,2026-06-22,1.0465156,1.057625
8,8,SH600018,0.0197526354649005,0.7647058823529411,-0.017964125,0.03771676014446593,0.03771676014446593,SH600018,上港集团,2026-06-22,0.9825793,0.99104905
9,9,SH601377,0.0180023645816467,0.5882352941176471,-0.018889546,0.03689191097599484,0.03689191097599484,SH601377,兴业证券,2026-06-22,0.22220702,0.22525005
10,10,SH601995,0.0178331224007028,0.7058823529411765,-0.012067974,0.029901096014441814,0.029901096014441814,SH601995,中金公司,2026-06-22,0.026405966,0.026730431
11,11,SH601336,0.0164188800606318,0.6470588235294118,-0.0074861646,0.023905044630486535,0.023905044630486535,SH601336,新华保险,2026-06-22,0.15732281,0.15898149
12,12,SH601939,0.0157048148255379,0.6470588235294118,-0.014729321,0.030434135828498105,0.030434135828498105,SH601939,建设银行,2026-06-22,0.8591996,0.8671715
13,13,SH601818,0.014858438868399,0.7058823529411765,-0.023255825,0.03811426391112361,0.03811426391112361,SH601818,光大银行,2026-06-22,0.9986123,0.997085
14,14,SH600016,0.0144159129767356,0.8823529411764706,-0.022954404,0.03737031733083106,0.03737031733083106,SH600016,民生银行,2026-06-22,13.645243,13.644356
15,15,SZ000776,0.013755858670127,0.6470588235294118,-0.028278649,0.042034507523429,0.042034507523429,SZ000776,广发证券,2026-06-22,2.4165928,2.4529798
16,16,SH601688,0.0131392503906143,0.5294117647058824,-0.017941833,0.031081082933033733,0.031081082933033733,SH601688,华泰证券,2026-06-22,0.092717625,0.09401742
17,17,SH600015,0.0124393131143851,0.7647058823529411,-0.026440024,0.038879337490300626,0.038879337490300626,SH600015,华夏银行,2026-06-22,5.1314926,5.1376834
18,18,SH600900,0.0104709670810728,0.8235294117647058,-0.010012746,0.02048371293831157,0.02048371293831157,SH600900,长江电力,2026-06-22,10.112254,10.16191
19,19,SH601838,0.0101374412577261,0.4705882352941176,-0.040270984,0.050408425430547146,0.050408425430547146,SH601838,成都银行,2026-06-22,0.3716947,0.37052622
20,20,SH600036,0.0101261010381765,0.7647058823529411,-0.017116189,0.027242290041167225,0.027242290041167225,SH600036,招商银行,2026-06-22,13.8322935,13.898754
21,21,SH601398,0.0067790229365163,0.5882352941176471,-0.021750689,0.028529711489372746,0.028529711489372746,SH601398,工商银行,2026-06-22,4.4752636,4.5231247
22,22,SH601169,0.0047021608163938,0.7647058823529411,-0.019896507,0.024598668079577394,0.024598668079577394,SH601169,北京银行,2026-06-22,0.24072917,0.24058741
23,23,SZ002142,0.0035002478447522,0.3529411764705882,-0.011306047,0.014806295284327396,0.014806295284327396,SZ002142,宁波银行,2026-06-22,0.38752508,0.38683513
24,24,SH601211,0.0028967099654633,0.4117647058823529,-0.02239734,0.02529404930948796,0.02529404930948796,SH601211,国泰海通,2026-06-22,0.040184937,0.040778574
25,25,SH601766,0.0028724754803037,0.5294117647058824,-0.031407,0.03427947411464208,0.03427947411464208,SH601766,中国中车,2026-06-22,0.9803657,0.9855796
26,26,SH601328,0.002816244025912,0.5294117647058824,-0.029617608,0.032433851619448374,0.032433851619448374,SH601328,交通银行,2026-06-22,0.27580842,0.2772322
27,27,SH600905,0.0020897838707447,0.4705882352941176,-0.021226466,0.023316249572801585,0.023316249572801585,SH600905,三峡能源,2026-06-22,0.30799598,0.30722558
28,28,SH601229,0.0019206243887817,0.5882352941176471,-0.0284819,0.030402525080767785,0.030402525080767785,SH601229,上海银行,2026-06-22,0.20640787,0.20641929
29,29,SH600926,0.0017082554284867,0.5882352941176471,-0.027544975,0.02925323070924842,0.02925323070924842,SH600926,杭州银行,2026-06-22,0.25959525,0.26023167
30,30,SH601186,0.0013487474022102,0.5882352941176471,-0.010764241,0.012112988620777095,0.012112988620777095,SH601186,中国铁建,2026-06-22,0.10110785,0.10133939
31,31,SH601988,0.001279591959352,0.4117647058823529,-0.019533753,0.020813345354432567,0.020813345354432567,SH601988,中国银行,2026-06-22,2.8556635,2.8836293
