,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ300502,0.1991287402850481,1.0,0.031062484,0.16806625649751147,0.16806625649751147,,,2026-08-10,121.785614,129.55681
1,1,SZ000988,0.1884640273097116,1.0,0.024276614,0.16418741312056365,0.16418741312056365,,,2026-08-10,3.2859333,3.4277477
2,2,SZ300308,0.1707183024535263,1.0,0.038377643,0.13234065982199553,0.13234065982199553,,,2026-08-10,81.40602,85.980286
3,3,SH603986,0.1629379750813097,1.0,0.027045965,0.13589200988660755,0.13589200988660755,SH603986,兆易创新,2026-08-10,11.474721,11.978464
4,4,SZ002837,0.1621298766233776,0.8,0.024329782,0.13780009509109,0.13780009509109,,,2026-08-10,17.182617,18.00301
5,5,SH600522,0.1619753732190227,0.9,0.03741443,0.12456094164706225,0.12456094164706225,SH600522,中天科技,2026-08-10,18.086817,18.942484
6,6,SZ301308,0.1603902333036065,0.9,-0.007655561,0.1680457942739129,0.1680457942739129,,,2026-08-10,0.043772917,0.044415385
7,7,SH688521,0.1388329728072199,1.0,-0.00052011013,0.13935308293752996,0.13935308293752996,SH688521,芯原股份,2026-08-10,0.009656227,0.009847061
8,8,SH688126,0.1287145198296707,0.9,0.026510715,0.10220380434505155,0.10220380434505155,SH688126,沪硅产业,2026-08-10,0.21608505,0.2225581
9,9,SZ300394,0.1239700430467119,0.8,0.07892525,0.045044791085957506,0.045044791085957506,,,2026-08-10,45.321,50.619244
10,10,SH688047,0.1214361112200221,1.0,0.014858127,0.10657798457970227,0.10657798457970227,SH688047,龙芯中科,2026-08-10,0.013997667,0.014285058
11,11,SH688396,0.1168961139529429,0.9,0.038493276,0.07840283831054788,0.07840283831054788,SH688396,华润微,2026-08-10,0.03476291,0.03618768
12,12,SZ300433,0.112767936976406,0.9,0.01874578,0.0940221569852561,0.0940221569852561,,,2026-08-10,1.1824299,1.2161664
13,13,SZ002384,0.0997702639092285,0.9,0.032597303,0.06717296051872557,0.06717296051872557,,,2026-08-10,2.3031142,2.4214272
14,14,SH688256,0.0972191587237137,0.9,0.013514876,0.08370428235805208,0.08370428235805208,SH688256,寒武纪,2026-08-10,0.053757977,0.0559223
15,15,SH600460,0.096901508732711,0.8,0.02496159,0.07193991796580426,0.07193991796580426,SH600460,士兰微,2026-08-10,16.11659,16.67981
16,16,SH688008,0.0886036810460152,1.0,0.0422132,0.04639047952318805,0.04639047952318805,SH688008,澜起科技,2026-08-10,0.03926591,0.04126261
17,17,SH688082,0.0863254433075289,0.7,0.0068928003,0.07943264297641318,0.07943264297641318,SH688082,盛美上海,2026-08-10,0.019221593,0.020138493
18,18,SZ002709,0.0785183520206949,0.8,-0.0005027652,0.07902111719937532,0.07902111719937532,,,2026-08-10,21.42731,21.915941
19,19,SH600176,0.0707890341618389,0.9,0.01452291,0.05626612404373588,0.05626612404373588,SH600176,中国巨石,2026-08-10,398.89484,411.6957
20,20,SH600118,0.0676796224406485,0.7,0.03227067,0.03540895250351471,0.03540895250351471,SH600118,中国卫星,2026-08-10,55.26165,57.662525
21,21,SH688981,0.0644209148948608,0.7,0.02033329,0.04408762479476315,0.04408762479476315,SH688981,中芯国际,2026-08-10,0.018239528,0.018688936
22,22,SH601689,0.0638179363732329,0.8,-0.012383103,0.0762010397438994,0.0762010397438994,SH601689,拓普集团,2026-08-10,1.0325321,1.0355456
23,23,SZ301269,0.0525946253381358,0.8,0.003959775,0.0486348503671275,0.0486348503671275,,,2026-08-10,0.017604066,0.018128034
24,24,SZ300442,0.0507283858942972,0.8,-0.0022056103,0.052933996169565754,0.052933996169565754,,,2026-08-10,0.33446553,0.34531394
25,25,SZ300274,0.0497944557920951,0.8,-0.021153212,0.07094766738572303,0.07094766738572303,,,2026-08-10,9.704206,9.865063
26,26,SH600183,0.0468327331876551,0.7,0.058606982,-0.011774249043485036,0.011774249043485036,SH600183,生益科技,2026-08-10,131.90501,141.89687
27,27,SZ002049,0.0460880771652253,0.8,-0.00030618906,0.04639426622543648,0.04639426622543648,,,2026-08-10,54.65967,54.94294
28,28,SZ002466,0.0454184789581679,0.8,0.00917232,0.036246158592262136,0.036246158592262136,,,2026-08-10,0.493242,0.51080394
29,29,SH603260,0.0452054542605527,0.8,0.010487556,0.034717897803033165,0.034717897803033165,SH603260,合盛硅业,2026-08-10,0.1052161,0.10662351
30,30,SH601377,0.0448571530523222,0.9,0.0017921925,0.043064960593215754,0.043064960593215754,SH601377,兴业证券,2026-08-10,0.21655871,0.2177046
31,31,SH601607,0.043990812354704,0.9,-0.007821143,0.05181195502819643,0.05181195502819643,SH601607,上海医药,2026-08-10,1.1281099,1.1314164
32,32,SZ300316,0.0434076448414284,0.8,0.0270921,0.0163155456516701,0.0163155456516701,,,2026-08-10,3.2722757,3.3779259
33,33,SH688041,0.0424483097005305,0.7,0.0022557974,0.040192512314361065,0.040192512314361065,SH688041,海光信息,2026-08-10,0.08009795,0.08107047
34,34,SH600018,0.0420623366973319,0.9,-0.006703973,0.048766309513799184,0.048766309513799184,SH600018,上港集团,2026-08-10,1.0828304,1.0851148
35,35,SH600919,0.0410519913028547,0.9,-0.0069790483,0.048031039554960415,0.048031039554960415,SH600919,江苏银行,2026-08-10,0.4199992,0.4216416
36,36,SZ300661,0.0407676168512519,0.7,0.004585862,0.0361817546915229,0.0361817546915229,,,2026-08-10,6.061391,6.2340226
37,37,SZ002600,0.0402524793898001,0.8,-0.013421655,0.05367413409103301,0.05367413409103301,,,2026-08-10,0.61873937,0.6153053
38,38,SH601229,0.0391386231213773,1.0,0.00450325,0.03463537299930699,0.03463537299930699,SH601229,上海银行,2026-08-10,0.20885657,0.21096429
39,39,SH600584,0.0381195161555157,0.7,0.006569147,0.031550369045530345,0.031550369045530345,SH600584,长电科技,2026-08-10,9.877393,10.056761
40,40,SH601456,0.0374388930040087,0.9,0.0053304434,0.03210844962174551,0.03210844962174551,SH601456,国联民生,2026-08-10,0.26159325,0.2640925
41,41,SH601985,0.0364128683487938,0.8,-0.008093536,0.04450640424890977,0.04450640424890977,SH601985,中国核电,2026-08-10,0.5847322,0.5851421
42,42,SZ000725,0.0363544588955247,0.8,0.003399253,0.032955206003984175,0.032955206003984175,,,2026-08-10,0.34174603,0.34406945
43,43,SZ002142,0.0359732998305682,0.9,-0.0030667186,0.03904001840890682,0.03904001840890682,,,2026-08-10,0.42220137,0.4232902
44,44,SH600549,0.0350828915214061,0.8,-0.00070756674,0.03579045825953476,0.03579045825953476,SH600549,厦门钨业,2026-08-10,28.811975,29.608847
45,45,SH600221,0.0343394558126779,0.8,0.007025838,0.027313617914423508,0.027313617914423508,SH600221,海航控股,2026-08-10,0.51288855,0.5200918
46,46,SH600905,0.0336891849781392,0.8,-0.0024752617,0.03616444666637162,0.03616444666637162,SH600905,三峡能源,2026-08-10,0.29589948,0.2967836
47,47,SZ002736,0.0336800652824113,0.9,0.0029175282,0.030762537129945478,0.030762537129945478,,,2026-08-10,0.2640129,0.26529175
48,48,SZ000657,0.0334905543617041,0.6,0.033444762,4.579213178466934e-05,4.579213178466934e-05,,,2026-08-10,5.3788066,5.673081
49,49,SH601117,0.0328598289209886,0.9,-0.00688982,0.03974964901986555,0.03974964901986555,SH601117,中国化学,2026-08-10,0.41026744,0.41000363
50,50,SH600926,0.0290337608657409,0.9,-0.0060762763,0.03511003716807855,0.03511003716807855,SH600926,杭州银行,2026-08-10,0.2660551,0.26697204
51,51,SH601021,0.0286399394613947,0.8,0.0015522242,0.027087715302153977,0.027087715302153977,SH601021,春秋航空,2026-08-10,0.30383706,0.3045775
52,52,SZ000166,0.0283700418686584,0.9,0.0055787563,0.02279128553626094,0.02279128553626094,,,2026-08-10,0.029326305,0.029589113
53,53,SH601901,0.0280501014120407,0.9,0.0,0.0280501014120407,0.0280501014120407,SH601901,方正证券,2026-08-10,0.25724185,0.25797576
54,54,SZ002916,0.0278509873397819,0.6,0.013395548,0.014455439472960612,0.014455439472960612,,,2026-08-10,2.775201,2.8734615
55,55,SH601878,0.0272183482064755,0.9,0.001892209,0.02532613915343595,0.02532613915343595,SH601878,浙商证券,2026-08-10,0.079909205,0.080211535
56,56,SH601788,0.0270575915740718,0.8,-0.0005251765,0.027582768099187766,0.027582768099187766,SH601788,光大证券,2026-08-10,0.033050843,0.033174526
57,57,SH601669,0.025752931985074,0.7,-0.0030487776,0.028801709565335232,0.028801709565335232,SH601669,中国电建,2026-08-10,0.32483894,0.32626835
58,58,SH601818,0.0252593210078565,0.8,0.0031250715,0.02213424948228277,0.02213424948228277,SH601818,光大银行,2026-08-10,1.0124902,1.0188171
59,59,SH600958,0.0242776592936974,0.7,0.0008561611,0.02342149817614369,0.02342149817614369,SH600958,东方证券,2026-08-10,0.07150398,0.07162639
60,60,SH601169,0.0241086384984613,0.9,0.0,0.0241086384984613,0.0241086384984613,SH601169,北京银行,2026-08-10,0.26453912,0.26559517
61,61,SH600061,0.0239870436895101,0.9,0.004640341,0.01934670288445639,0.01934670288445639,SH600061,国投资本,2026-08-10,5.131547,5.1631093
62,62,SH600588,0.0232964180063978,0.4,-0.01257658,0.03587299805400522,0.03587299805400522,SH600588,用友网络,2026-08-10,4.421646,4.4699354
63,63,SH605117,0.0232339368162148,0.4,0.029428482,-0.006194545239449262,0.006194545239449262,SH605117,德业股份,2026-08-10,2.458575,2.6234531
64,64,SH600029,0.0231330205288256,0.9,0.0034883022,0.019644718297990638,0.019644718297990638,SH600029,南方航空,2026-08-10,0.97284144,0.9777007
65,65,SH600795,0.0230941129462221,0.8,-0.003956318,0.02705043084783343,0.02705043084783343,SH600795,国电电力,2026-08-10,42.220615,42.38717
66,66,SH600023,0.0220828294820743,0.8,-0.003809452,0.025892281538959065,0.025892281538959065,SH600023,浙能电力,2026-08-10,0.2807523,0.28143275
67,67,SH600760,0.021725541853284,0.9,-0.007639885,0.02936542680201447,0.02936542680201447,SH600760,中航沈飞,2026-08-10,5.2048864,5.2399817
68,68,SH600016,0.0209368762740317,0.8,0.0,0.0209368762740317,0.0209368762740317,SH600016,民生银行,2026-08-10,14.074718,14.1553755
69,69,SH601838,0.0207756491873143,0.8,0.0022230148,0.01855263435577133,0.01855263435577133,SH601838,成都银行,2026-08-10,0.3966691,0.39865178
70,70,SH601111,0.0203797242684418,0.7,0.0073421,0.013037624125009181,0.013037624125009181,SH601111,中国国航,2026-08-10,0.99417126,1.0037597
71,71,SH601319,0.0189819601187601,0.8,-0.0011806488,0.02016260892247104,0.02016260892247104,SH601319,中国人保,2026-08-10,0.44360816,0.44573513
72,72,SH601077,0.0182549207983694,0.5,0.0031120777,0.015142843085356704,0.015142843085356704,SH601077,渝农商行,2026-08-10,0.16328634,0.16480437
73,73,SH600027,0.0182372155444923,0.8,-0.0072595477,0.025496763254911,0.025496763254911,SH600027,华电国际,2026-08-10,1.2812215,1.2818478
74,74,SH601881,0.0179611181633163,0.9,0.0033669472,0.014594170989244034,0.014594170989244034,SH601881,中国银河,2026-08-10,0.18599626,0.18709789
75,75,SH688183,0.0179038758664303,0.7,0.0073720217,0.010531854191320435,0.010531854191320435,SH688183,生益电子,2026-08-10,0.27906474,0.28692245
76,76,SH601336,0.0178460472838996,0.9,0.007979035,0.009867011906397157,0.009867011906397157,SH601336,新华保险,2026-08-10,0.15757611,0.15914567
77,77,SH601688,0.0171433009725114,0.6,0.008224249,0.008919052086403003,0.008919052086403003,SH601688,华泰证券,2026-08-10,0.08397772,0.08496595
78,78,SH601186,0.0166453032621533,0.9,0.0,0.0166453032621533,0.0166453032621533,SH601186,中国铁建,2026-08-10,0.1079257,0.108278394
79,79,SH601916,0.01581853768468,0.8,0.0071769953,0.008641542407275216,0.008641542407275216,SH601916,浙商银行,2026-08-10,0.24476084,0.24827504
80,80,SH601868,0.0148522791015266,0.6,-0.0036630034,0.018515282546198233,0.018515282546198233,SH601868,中国能建,2026-08-10,0.3805048,0.3806561
81,81,SH601658,0.0135295098495852,0.8,-0.005805552,0.01933506185535302,0.01933506185535302,SH601658,邮储银行,2026-08-10,0.30411023,0.30425888
82,82,SH600015,0.0135017549336507,0.8,-0.0073209405,0.020822695428188053,0.020822695428188053,SH600015,华夏银行,2026-08-10,5.544848,5.5459366
83,83,SZ300476,0.0133833540356422,0.7,0.017707348,-0.0043239938342308475,0.0043239938342308475,,,2026-08-10,13.196048,13.536002
84,84,SH600196,0.013332744884992,0.7,-0.003298521,0.016631265926862118,0.016631265926862118,SH600196,复星医药,2026-08-10,7.1359057,7.2442746
85,85,SZ000999,0.013085690369644,0.8,-0.006670654,0.019756344189681842,0.019756344189681842,,,2026-08-10,0.6171174,0.61870414
86,86,SH601318,0.0127460653645298,0.7,0.00094020367,0.011805861697842788,0.011805861697842788,SH601318,中国平安,2026-08-10,0.25162432,0.25339028
87,87,SH600930,0.0121700106945741,0.4,0.0,0.0121700106945741,0.0121700106945741,SH600930,华电新能,2026-08-10,0.08361578,0.08381439
88,88,SH600011,0.0121013996229506,0.5,-0.0041057467,0.016207146369013832,0.016207146369013832,SH600011,华能国际,2026-08-10,1.1694365,1.1732403
89,89,SZ000001,0.0118284135285183,0.7,-0.0008880496,0.012716463131026845,0.012716463131026845,,,2026-08-10,1.3860823,1.3897754
90,90,SZ002460,0.0117854016495835,0.7,0.008979917,0.0028054850770127,0.0028054850770127,,,2026-08-10,3.0628889,3.1603255
91,91,SH600887,0.0117205111272449,0.7,-0.00727731,0.018997821021806666,0.018997821021806666,SH600887,伊利股份,2026-08-10,80.05755,80.05794
92,92,SH688072,0.0115475810836296,0.5,0.004326105,0.007221475965831748,0.007221475965831748,SH688072,拓荆科技,2026-08-10,0.39743268,0.40818968
93,93,SH600036,0.011404400011516,0.8,-0.006437421,0.017841820856547737,0.017841820856547737,SH600036,招商银行,2026-08-10,15.204951,15.212179
94,94,SH601988,0.0108157959458038,0.7,-0.008381665,0.019197460698764005,0.019197460698764005,SH601988,中国银行,2026-08-10,2.8481827,2.8488822
95,95,SH601995,0.0100831484939084,0.5,0.008903742,0.0011794066573605488,0.0011794066573605488,SH601995,中金公司,2026-08-10,0.02602551,0.02626537
