,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ300347,0.13701944266356944,0.9411764705882353,,,,,,2026-06-10,0.057571642,0.08240116,0.6986752,0.024556624,0.29801312,0.0002728874,0.003311694,0.033287905,0.4039738,0.9455624,1.0232198,0.9453044,0.9993908,1.0157336,1.0242535,1.2665071,1.4453039,1.4398786,0.98266286,0.9987863,1.0695555,1.175816,1.2949352,0.03696066,0.03000182,0.08967673,0.17426983,0.18051575,-0.009158854,-0.005996054,-0.014177477,-0.019244421,-0.0075274645,0.1535122,0.36614013,0.87479526,0.9450766,0.5303555,0.035654858,0.028195953,0.06513055,0.103227995,-0.07287505,1.0497844,1.071975,1.2951419,1.535088,1.5714571,0.9176971,0.9176971,0.9176971,0.9176971,0.9176971,1.0075272,1.0175943,1.1738335,1.3556725,1.4529477,0.9505164,0.9909697,1.0096973,1.0150625,1.0839489,0.6,0.3,0.15,0.1,0.05,0.6230945,0.5334717,0.21805286,0.13330768,0.12589166,0.4,0.1,0.05,0.06666667,0.38333333,0.8,0.9,0.95,0.96666664,0.98333335,-0.4,-0.8,-0.9,-0.9,-0.6,-0.581603,-0.6367188,-0.22962092,-0.066428356,-0.3568181,-0.30558753,-0.16455954,-0.22083575,-0.2543559,-0.03617096,0.6,0.5,0.3,0.3,0.36666667,0.4,0.5,0.7,0.7,0.6333333,0.2,0.0,-0.4,-0.4,-0.26666668,0.45089677,0.43579113,0.21095768,0.2304737,0.37350193,0.54910326,0.56420887,0.78904235,0.7695263,0.62649804,-0.09820646,-0.12841773,-0.57808465,-0.5390526,-0.25299612,0.89897746,0.82492065,0.84992844,0.8778594,0.73884875,0.17326467,0.14852747,0.24126987,0.35106903,0.308648,0.909776,1.3494551,1.287419,1.1798501,1.1884073,0.642404,0.48247766,0.3876994,0.5269018,0.5237429,0.35759595,0.51752234,0.6123006,0.4730982,0.4762571,0.28480807,-0.03504465,-0.2246012,0.053803604,0.047485802
1,SH601012,0.12183947738485919,0.8235294117647058,,,,SH601012,隆基绿能,2026-06-10,0.10691823,0.12342769,0.8662419,0.011006257,0.08917169,0.0055032033,0.044586457,0.10141518,0.8216566,0.9034091,1.0099431,0.89843744,0.9440296,0.9531233,1.019874,1.1917552,1.2350675,1.3451666,0.936504,0.9570297,1.0156921,1.0716567,1.1711947,0.04265811,0.03992374,0.07142192,0.09954355,0.12733343,0.009162916,-0.0070639034,-0.0111431675,-0.010846126,-0.006869288,0.115346454,0.28697133,0.8519661,0.9200783,0.8876432,0.045170132,0.07475788,0.09016795,0.08561209,0.03144932,1.0099431,1.0241616,1.210216,1.2379141,1.392055,0.8678919,0.8678919,0.8678919,0.8678919,0.8678919,0.9579478,0.9891989,1.076702,1.1754096,1.2715967,0.91192794,0.92982894,0.9519856,0.96874887,1.047712,1.0,0.9,0.45,0.3,0.15,0.93000305,0.8453854,0.38591525,0.3570275,0.25203624,1.0,0.1,0.05,0.033333335,0.1,0.8,0.9,0.95,0.96666664,0.98333335,0.2,-0.8,-0.9,-0.93333334,-0.8833333,0.32581815,0.015521353,0.12863299,0.022971371,0.30410704,0.12457944,0.090523325,-0.06379319,-0.123912334,0.121634915,0.4,0.2,0.25,0.3,0.33333334,0.6,0.8,0.75,0.6666667,0.65,-0.2,-0.6,-0.5,-0.36666667,-0.31666666,0.62596756,0.460695,0.30436385,0.30597332,0.3501704,0.37403247,0.539305,0.69563615,0.69402665,0.6498296,0.25193506,-0.078609996,-0.39127234,-0.38805333,-0.2996592,0.6562541,0.60736984,0.61083114,0.6106626,0.6728527,0.22653407,0.16350357,0.16406041,0.16299099,0.30077955,1.0517055,1.320676,1.1683222,1.2853844,1.1703303,0.7755816,0.6086274,0.5787569,0.5707656,0.50098306,0.2244184,0.39137265,0.42124307,0.42923442,0.49901694,0.5511632,0.21725471,0.15751383,0.14153118,0.0019661125
2,SZ300394,0.11360769179705568,0.8823529411764706,,,,,,2026-06-10,-0.016555047,0.052535854,-0.31511903,0.016746398,0.31876132,0.019234408,0.36611965,-0.014067038,-0.26776072,1.0168338,1.033862,0.9804418,1.0013236,1.2099334,1.0426428,0.9199906,0.78785026,0.81259054,1.0788939,1.0955477,1.014928,0.94208187,0.87263083,0.06591628,0.06238467,0.10330507,0.13703166,0.1262022,-0.03693172,-0.006532141,0.012122408,0.013799976,0.0058757034,0.78479046,0.100500174,0.48195058,0.78598905,0.6611282,-0.0050304197,-0.066153035,-0.13009089,-0.14218152,-0.045964085,1.2208567,1.2771223,1.2771223,1.2771223,1.2771223,0.9804418,0.9804418,0.8173091,0.7419475,0.6742475,1.123114,1.123114,1.1082022,1.0816579,0.97631484,1.0273023,1.0414654,0.930377,0.79734284,0.7703597,0.2,0.1,0.5,0.6666667,0.8333333,0.08135186,0.065923445,0.39731556,0.48218367,0.540332,0.4,0.5,0.75,0.8333333,0.9166667,1.0,1.0,0.3,0.2,0.05,-0.6,-0.5,0.45,0.6333333,0.8666667,-0.47963324,0.27885112,-0.11763394,0.32513472,0.44961742,-0.40882614,0.18567416,0.29163113,0.33723086,0.22027859,0.2,0.5,0.55,0.56666666,0.51666665,0.8,0.5,0.45,0.43333334,0.48333332,-0.6,0.0,0.1,0.13333334,0.033333335,0.15179543,0.4642735,0.5390333,0.58473116,0.5404391,0.84820455,0.5357265,0.46096674,0.41526884,0.45956084,-0.6964091,-0.07145296,0.078066535,0.16946232,0.080878295,0.91290885,1.041355,1.1201342,1.0719973,0.9826053,0.12258671,0.19639857,0.21058598,0.26635876,0.25917488,0.39513138,0.48733455,0.53128666,0.77340704,0.7672276,0.36980006,0.46709207,0.41752866,0.4824027,0.5087013,0.63019997,0.5329079,0.5824714,0.51759726,0.49129868,-0.26039988,-0.06581585,-0.16494271,-0.03519456,0.017402621
3,SZ002459,0.11098912421463016,0.6470588235294118,,,,,,2026-06-10,0.11178613,0.13730258,0.81415904,0.0,0.0,0.025516445,0.18584098,0.13730258,1.0,0.8994536,1.0,0.8765027,0.9275071,0.9488728,1.0229468,1.2218196,1.1867955,1.4154589,0.9305153,0.9580918,1.0243357,1.0795625,1.1660292,0.04512504,0.047823068,0.08373393,0.10508364,0.12963362,0.010305963,-0.009688674,-0.013225395,-0.011042418,-0.0067103873,0.13040133,0.37624025,0.8731371,0.8557756,0.817259,0.048872784,0.08550725,0.101305515,0.08055253,0.03192718,1.0,1.0395111,1.2448335,1.2448335,1.4633172,0.86569816,0.86569816,0.86569816,0.86569816,0.86569816,0.9536232,0.9964573,1.1016909,1.1888889,1.2356683,0.9033011,0.91972625,0.94750404,0.9837359,1.0500805,1.0,0.9,0.45,0.3,0.15,1.0,0.7726803,0.35423195,0.35423195,0.2247282,1.0,0.1,0.05,0.36666667,0.05,0.8,0.9,0.95,0.96666664,0.98333335,0.2,-0.8,-0.9,-0.6,-0.93333334,0.67253035,0.09776081,0.432701,0.31020513,0.60047466,0.7935005,0.19014484,0.0075994097,0.02819118,0.24760455,0.4,0.3,0.2,0.36666667,0.38333333,0.6,0.7,0.8,0.6333333,0.6166667,-0.2,-0.4,-0.6,-0.26666668,-0.23333333,0.6336841,0.46068972,0.28921202,0.35408807,0.35240275,0.36631587,0.5393103,0.710788,0.64591193,0.64759725,0.26736826,-0.07862055,-0.421576,-0.29182383,-0.29519448,0.68429446,0.6331087,0.68416613,0.69187194,0.8261945,0.18298256,0.1506049,0.19121228,0.19274488,0.36859623,1.129368,1.2324814,1.1639154,1.2982012,1.0886182,1.0,0.5890113,0.5319713,0.55677795,0.4596235,0.0,0.41098872,0.46802872,0.44322205,0.54037654,1.0,0.17802256,0.06394256,0.11355594,-0.08075306
4,SH688506,0.10175035181761821,0.8823529411764706,,,,SH688506,百利天恒,2026-06-10,0.07307312,0.08892679,0.82172215,0.015853679,0.17827787,0.0,0.0,0.05721944,0.64344424,0.93190295,1.0147741,0.93190295,0.9844525,0.96431494,1.0715066,1.2028366,1.2912084,1.1728793,0.96249664,0.97936636,1.0484704,1.1106797,1.2120261,0.025803179,0.042210978,0.08167837,0.11240255,0.14488262,0.0048958957,-0.0067887753,-0.012815964,-0.012344129,-0.0057429397,0.09000319,0.23710653,0.86170083,0.9346959,0.47922093,0.027711596,0.051183153,0.07328131,0.06831009,-0.04260941,1.0147741,1.1091918,1.2205656,1.306346,1.5026367,0.9138104,0.90962815,0.90962815,0.90962815,0.90962815,0.9742522,0.9986181,1.1267751,1.2319665,1.3573234,0.94570416,0.96137834,0.9651151,0.9687245,1.0830803,1.0,0.9,0.45,0.3,0.15,0.85366935,0.45284733,0.29064324,0.22779873,0.15239552,1.0,0.2,0.05,0.06666667,0.25,0.6,0.4,0.7,0.8,0.9,0.4,-0.2,-0.65,-0.73333335,-0.65,0.48069194,0.5533619,-0.37145177,-0.40495554,-0.09997237,0.103056744,0.21519035,0.19321501,0.20640735,0.4510197,0.6,0.4,0.35,0.4,0.38333333,0.4,0.6,0.65,0.6,0.6166667,0.2,-0.2,-0.3,-0.2,-0.23333333,0.6602697,0.40855703,0.32710782,0.3266586,0.45413318,0.33973032,0.59144294,0.6728922,0.6733414,0.5458668,0.32053936,-0.18288593,-0.3457844,-0.34668276,-0.09173362,0.77173036,1.0399083,0.8593522,0.7983669,0.75659066,0.1453624,0.5086719,0.41455516,0.3520143,0.29469618,1.0532154,1.3821733,1.6963894,1.7412167,1.6666541,0.7423611,0.5422872,0.5391064,0.53466344,0.5157068,0.2576389,0.45771286,0.46089354,0.4653366,0.4842932,0.48472223,0.08457429,0.0782129,0.06932683,0.03141361
5,SH688223,0.09964068092622248,0.7647058823529411,,,,SH688223,晶科能源,2026-06-10,0.04109577,0.08219184,0.49999818,0.007827896,0.095239334,0.033268172,0.40476248,0.06653605,0.8095213,0.9605264,1.0075189,0.92857146,0.9602853,1.0362977,1.1470056,1.4301271,1.2377497,1.5499094,0.9963703,1.0430127,1.1421053,1.1917726,1.2530551,0.03383187,0.063971855,0.12038869,0.13105196,0.12707575,-0.011796753,-0.01934775,-0.019794496,-0.011418212,-0.005333807,0.30395758,0.8384834,0.94620585,0.5883163,0.5373399,0.027223218,0.0440521,0.045942385,-0.026208522,-0.09570781,1.0548815,1.1875747,1.4711848,1.4711848,1.5522923,0.92857146,0.92857146,0.92857146,0.92857146,0.92857146,1.0170599,1.0900182,1.2591652,1.2729583,1.3731399,0.9716879,0.99528134,1.031216,1.0519058,1.1687841,0.6,0.3,0.15,0.1,0.05,0.56550175,0.2757823,0.13163799,0.13163799,0.11452003,0.2,0.1,0.05,0.36666667,0.016666668,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.95,-0.6333333,-0.98333335,-0.27110413,0.24712896,0.72170126,0.7425816,0.7058422,0.041706245,-0.13045867,0.042557444,0.24011539,0.36811712,0.6,0.4,0.3,0.46666667,0.4,0.4,0.6,0.7,0.53333336,0.56666666,0.2,-0.2,-0.4,-0.06666667,-0.16666667,0.3717947,0.2515337,0.20595539,0.3880342,0.38023713,0.6282053,0.7484663,0.7940446,0.61196584,0.61976284,-0.25641063,-0.49693263,-0.5880892,-0.22393164,-0.23952572,0.7436563,0.7697444,0.9331614,0.98096216,1.0851777,0.16035374,0.17373897,0.30125925,0.3122224,0.4511195,0.6927752,0.78964865,0.95100737,0.9228074,0.9512183,0.7805032,0.5420452,0.46123624,0.5243492,0.4781518,0.21949677,0.4579548,0.53876376,0.47565076,0.5218482,0.5610064,0.084090404,-0.07752752,0.048698477,-0.043696433
6,SZ300308,0.09235008735715058,0.7647058823529411,,,,,,2026-06-10,-0.0026087328,0.039304342,-0.06637264,0.020869512,0.5309722,0.015826097,0.40265518,-0.0076521486,-0.19468966,1.0026156,1.0235397,0.9841325,1.0045762,1.1115952,0.96893567,0.914734,0.7723993,0.46570936,1.0360905,1.037309,0.9797947,0.9150196,0.75472593,0.046465684,0.044167753,0.07005517,0.115258545,0.19493505,-0.023190029,-0.001228606,0.009081429,0.012046907,0.010891082,0.6226986,0.0070929364,0.5881607,0.8466552,0.95205486,0.010289564,-0.03178034,-0.06606823,-0.089699715,-0.07601282,1.134708,1.150828,1.150828,1.150828,1.150828,0.9824754,0.94643325,0.862144,0.71078134,0.45718315,1.0462068,1.0578823,1.0308294,1.0156277,0.95466393,1.0055729,1.0055729,0.90984815,0.77096224,0.527583,0.2,0.2,0.6,0.73333335,0.8666667,0.11511738,0.26207495,0.4775326,0.65724546,0.78255737,0.4,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.2,0.1,0.016666668,-0.4,0.4,0.55,0.73333335,0.9,-0.3903108,-0.088927545,0.41611636,0.21673371,0.008611902,-0.58457154,-0.11984178,-0.071713604,0.03784122,0.32742864,0.4,0.5,0.55,0.6,0.6333333,0.6,0.5,0.45,0.4,0.36666667,-0.2,0.0,0.1,0.2,0.26666668,0.15960659,0.5365349,0.5667019,0.6275688,0.68842685,0.8403934,0.4634651,0.43329814,0.37243125,0.31157312,-0.6807868,0.07306984,0.13340372,0.2551375,0.37685373,1.4464191,1.3695216,1.231041,1.2270175,1.2672123,0.48179355,0.34165102,0.2862512,0.26009387,0.29256305,1.1912937,0.79367596,0.92221063,0.8960972,0.94006056,0.4232037,0.48775524,0.4867989,0.45657322,0.49869066,0.5767963,0.51224476,0.51320106,0.54342675,0.50130934,-0.1535926,-0.024489501,-0.026402162,-0.08685355,-0.0026186884
7,SZ300433,0.08987648634021726,0.9411764705882353,,,,,,2026-06-10,-0.03239889,0.06893387,-0.4699996,0.006433876,0.09333404,0.030101098,0.43666634,-0.008731668,-0.12666732,1.0334837,1.040133,0.968891,1.006706,1.0541619,0.9565609,0.77630806,0.6164834,0.7603804,1.0390952,1.0139201,0.9494717,0.85511553,0.76761764,0.034520943,0.043895643,0.08314625,0.15503304,0.1424444,-0.009243536,0.009114033,0.012737171,0.017010313,0.0061469288,0.17924663,0.39517525,0.82135063,0.93299156,0.56797004,-0.020608148,-0.054933242,-0.07047481,-0.101765044,0.051047966,1.1348908,1.1348908,1.1348908,1.1348908,1.1348908,0.9679341,0.9054846,0.75040764,0.6008083,0.59226793,1.0673424,1.056009,1.0173521,0.9946777,0.9229288,1.0100809,0.97563493,0.8945721,0.6735804,0.65147734,0.2,0.5,0.75,0.8333333,0.9166667,0.19206133,0.41200015,0.64916337,0.74743456,0.75140965,0.4,0.7,0.85,0.9,0.95,0.8,0.2,0.05,0.1,0.4,-0.4,0.5,0.8,0.8,0.55,0.8026071,0.5373076,0.0009284315,0.79679394,0.7080033,0.63986754,0.77761394,0.723097,0.69468814,0.17947863,0.4,0.5,0.55,0.6,0.5,0.6,0.5,0.45,0.4,0.5,-0.2,0.0,0.1,0.2,0.0,0.3913658,0.5574891,0.651329,0.6970879,0.5810929,0.60863423,0.4425109,0.34867102,0.30291212,0.4189071,-0.21726844,0.114978194,0.30265796,0.3941758,0.16218577,1.1055813,1.1438879,1.1950613,0.9917504,0.7034282,0.12007715,0.1844841,0.22441176,0.3762393,0.4264449,0.39761105,0.82518184,1.0188498,1.0974673,1.4834552,0.2713838,0.4583456,0.49949235,0.5511753,0.5361841,0.72861624,0.5416544,0.50050765,0.4488247,0.4638159,-0.45723242,-0.08330879,-0.0010153304,0.10235058,0.07236819
8,SZ000338,0.08239008856235513,0.7647058823529411,,,,,,2026-06-10,-0.042133912,0.08256879,-0.51028866,0.013591535,0.16460864,0.026843335,0.3251027,-0.028882114,-0.3497946,1.0439873,1.0581766,0.9719759,0.9965971,1.1447245,1.2238344,1.218161,1.0496687,0.89393026,1.0881872,1.1430271,1.1723827,1.1647508,1.0348412,0.07173063,0.08340181,0.06915617,0.0692114,0.14620377,-0.042105652,-0.025677754,-0.007213021,-0.0004555917,0.0071565188,0.8614131,0.86890954,0.38075057,0.0033581338,0.7307794,-0.0039759483,-0.027477134,-0.103859,-0.15814477,-0.24595852,1.2195804,1.2891122,1.2891122,1.2891122,1.2891122,0.9719759,0.9719759,0.9719759,0.9719759,0.7591316,1.1225241,1.2080123,1.23398,1.2257497,1.1957366,1.0507973,1.0740023,1.1351508,1.098475,0.8813066,0.2,0.1,0.05,0.033333335,0.48333332,0.11318092,0.0883661,0.0883661,0.0883661,0.45448527,0.4,0.2,0.6,0.73333335,0.8666667,1.0,1.0,1.0,1.0,0.18333334,-0.6,-0.8,-0.4,-0.26666668,0.68333334,-0.8375862,-0.60732627,-0.6589774,-0.3360315,-0.1364624,-0.8236585,-0.7015839,-0.6293134,-0.3210001,-0.16292349,0.4,0.5,0.4,0.53333336,0.53333336,0.6,0.5,0.6,0.46666667,0.46666667,-0.2,0.0,-0.2,0.06666667,0.06666667,0.23713991,0.23196477,0.33279213,0.47558996,0.5304416,0.76286006,0.76803523,0.66720784,0.52441,0.46955845,-0.5257202,-0.53607047,-0.33441573,-0.04882007,0.06088313,0.607539,0.57796746,0.4957823,0.5076573,0.51610315,0.25039157,0.22006652,0.1828298,0.16688482,0.17234375,0.813882,0.95743847,1.1455874,1.0480937,0.94024175,0.76377183,0.65917754,0.57264024,0.5642001,0.50841975,0.23622815,0.34082246,0.4273598,0.43579987,0.49158025,0.5275437,0.3183551,0.14528044,0.12840027,0.016839499
9,SZ300782,0.07952446656726665,0.9411764705882353,,,,,,2026-06-10,-0.0402153,0.060729127,-0.6622078,0.005179229,0.0852841,0.015334599,0.25250813,-0.03005993,-0.49498373,1.0419003,1.0472965,0.98402286,1.0102761,1.106231,1.2376516,1.3430175,1.0866547,0.86678874,1.0517393,1.0881475,1.2156097,1.1880175,1.0847011,0.056290533,0.07181149,0.14998993,0.13529828,0.16503726,-0.027988253,-0.018511655,-0.024516622,-0.002952967,0.006349841,0.6180461,0.60913575,0.93511516,0.03691767,0.45150396,0.0042371894,-0.004845124,0.017298207,-0.14519945,-0.2720214,1.1486666,1.2735158,1.5331695,1.5331695,1.5331695,0.98402286,0.98402286,0.98402286,0.98402286,0.81694674,1.1087339,1.1162868,1.3703438,1.3310102,1.2175,0.99864393,1.0380017,1.0699958,1.077633,0.9206245,0.4,0.2,0.1,0.06666667,0.33333334,0.09704057,0.055190016,0.029094456,0.029094456,0.25558147,0.4,0.2,0.05,0.36666667,0.68333334,1.0,1.0,1.0,1.0,0.05,-0.6,-0.8,-0.95,-0.6333333,0.6333333,-0.19379349,0.3724544,0.7357086,0.73147833,0.6319961,-0.37069505,-0.046046775,0.07399685,0.31146315,0.4665201,0.4,0.5,0.4,0.46666667,0.51666665,0.6,0.5,0.6,0.53333336,0.48333332,-0.2,0.0,-0.2,-0.06666667,0.033333335,0.25982553,0.23237276,0.31990373,0.46936658,0.52654535,0.7401745,0.76762724,0.68009627,0.53063345,0.47345462,-0.48034894,-0.5352545,-0.36019254,-0.06126685,0.05309074,1.2742171,1.4172283,1.7347276,1.7061852,1.5974205,0.23023322,0.27945244,0.61821747,0.5814404,0.69735664,1.1569889,0.9923355,1.2277964,1.3218812,1.3680009,0.273857,0.4171499,0.38152945,0.48187083,0.50754035,0.726143,0.5828501,0.61847055,0.51812917,0.49245965,-0.452286,-0.16570018,-0.2369411,-0.036258366,0.0150806615
