,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SH600919,0.05613550994971059,0.8125,,,,SH600919,江苏银行,2026-06-09,0.022806956,0.028947322,0.787878,0.006140365,0.21212204,0.0,0.0,0.016666591,0.5757559,0.9777016,1.0060035,0.9777016,0.99609,0.9866667,0.94769233,0.96923083,0.96102566,0.90307695,0.97866666,0.97384614,0.96589744,0.96704274,0.94931626,0.013556325,0.013578734,0.013250551,0.011212658,0.02152421,0.0074871816,0.003350429,0.001509157,0.00029251882,0.0010233896,0.76259303,0.55807644,0.45401376,0.05274632,0.6894891,0.006358974,0.011076916,0.019765567,0.028715737,0.020493759,1.0060035,1.0060035,1.0060035,1.0060035,1.0060035,0.95895606,0.939255,0.939255,0.939255,0.8905917,0.98523074,0.9825641,0.97651285,0.97476923,0.968718,0.9698461,0.9625641,0.9564102,0.9580513,0.928,1.0,1.0,1.0,1.0,1.0,0.87239575,0.9100587,0.9100587,0.9100587,0.9479824,1.0,1.0,1.0,1.0,1.0,0.4,0.1,0.55,0.7,0.13333334,0.6,0.9,0.45,0.3,0.8666667,0.9616201,0.5462164,0.5895046,0.37362596,0.12878886,0.85030997,0.62270534,0.48277205,0.36265707,0.108129136,0.6,0.7,0.5,0.5,0.5,0.4,0.2,0.45,0.46666667,0.43333334,0.2,0.5,0.05,0.033333335,0.06666667,0.6140348,0.76842076,0.5887573,0.5833334,0.6021621,0.38596526,0.23157923,0.4112427,0.41666663,0.39783788,0.22806951,0.5368415,0.1775146,0.16666675,0.20432428,0.73216075,0.76740503,0.70120126,0.666768,0.64819586,0.17359342,0.13752708,0.13835348,0.14868492,0.17971663,0.6566819,0.6407839,0.7026672,0.7269128,1.2472996,0.69102,0.6551948,0.6139633,0.5508161,0.5143444,0.30898002,0.34480515,0.38603666,0.44918388,0.4856556,0.38203996,0.3103897,0.22792666,0.10163222,0.028688785
1,SH601818,0.054175168916799785,0.9375,,,,SH601818,光大银行,2026-06-09,0.006430857,0.016077176,0.39999917,0.006430925,0.40000337,0.0032153947,0.19999747,0.0032153272,0.19999327,0.99361026,1.0063899,0.9904154,1.000009,1.0061634,0.9861325,1.0061634,1.0154083,1.0508474,0.99599385,0.9946071,0.994376,0.9974833,1.0153826,0.0057239323,0.00847847,0.0070923246,0.008277717,0.023089828,0.001694911,0.0013914175,5.676674e-05,-0.0004404833,-0.0011761959,0.21920218,0.24688308,0.002242223,0.21945198,0.7914397,0.0006163276,-0.0008684818,0.005084734,0.008903678,0.019315114,1.0065042,1.0093576,1.0095847,1.0156326,1.0727524,0.98294115,0.97797114,0.97797114,0.97797114,0.97797114,1.0,1.0006163,1.0,1.0061634,1.0298922,0.99476117,0.9861325,0.9861325,0.990755,0.9969184,0.9,0.75,0.775,0.65,0.325,0.7239683,0.70186067,0.6968174,0.5849171,0.23241828,0.2,0.5,0.3,0.06666667,0.033333335,0.4,0.3,0.65,0.76666665,0.8833333,-0.2,0.2,-0.35,-0.7,-0.85,0.52851164,0.7751138,0.46934348,0.07373393,0.47553366,0.48977083,0.46881148,0.16946441,0.056395702,-0.148861,0.4,0.5,0.4,0.36666667,0.31666666,0.6,0.4,0.5,0.46666667,0.45,-0.2,0.1,-0.1,-0.1,-0.13333334,0.4230766,0.5957446,0.4756097,0.4537037,0.43037978,0.5769234,0.4042554,0.5243903,0.5462963,0.56962025,-0.1538468,0.19148925,-0.048780605,-0.09259261,-0.13924046,0.93606645,0.87863606,0.7838324,0.7666936,0.89023757,0.11615223,0.173411,0.20854285,0.22243688,0.39252362,0.5905925,0.68304247,0.7322722,0.86143786,1.6523587,0.47060817,0.6962729,0.5645027,0.53265655,0.48392627,0.5293918,0.3037271,0.43549728,0.46734342,0.51607376,-0.058783658,0.39254582,0.12900545,0.06531314,-0.032147482
2,SH601939,0.05265360760447281,0.9375,,,,SH601939,建设银行,2026-06-09,0.014691434,0.02644466,0.55555385,0.010773771,0.40740818,0.0009794555,0.03703793,0.004897118,0.18518361,0.98552126,1.0106177,0.984556,1.0017616,0.9825919,0.99497104,0.92920697,0.9388782,0.873501,0.98444873,0.97992265,0.9691683,0.9594584,0.93344295,0.014632332,0.012661257,0.020077689,0.02212853,0.033202343,0.008704057,0.0023234226,0.0027259637,0.0020472347,0.0017368568,0.8846191,0.30868408,0.6451798,0.6633334,0.8346231,-0.0018568712,0.0096219415,0.004935041,0.010856657,0.015319759,1.0106177,1.0106177,1.0106177,1.0106177,1.0106177,0.953613,0.953613,0.9224483,0.9158829,0.86849326,0.99752414,0.98854935,0.9864604,0.9794971,0.9682785,0.9703675,0.9703675,0.949942,0.93941975,0.9009672,1.0,1.0,1.0,1.0,1.0,0.8137389,0.8137389,0.8795754,0.8879211,0.92529243,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.05,0.3,0.016666668,0.8,0.4,0.95,0.7,0.98333335,0.7725759,0.51974374,0.6031941,0.6061287,0.31666496,0.68450505,0.36602667,0.57034606,0.45787153,0.33540434,0.6,0.5,0.6,0.56666666,0.5833333,0.4,0.5,0.4,0.43333334,0.41666666,0.2,0.0,0.2,0.13333334,0.16666667,0.6859501,0.5247145,0.6783625,0.6141618,0.61754125,0.3140499,0.47528547,0.3216375,0.3858382,0.38245878,0.3719002,0.04942908,0.356725,0.22832361,0.23508246,0.8876265,0.8960881,0.85871464,0.8087795,0.778489,0.20298886,0.1727826,0.20976204,0.25051445,0.22926243,0.7999491,0.5218146,0.6855001,0.7804383,0.8946058,0.59105533,0.4821952,0.5553967,0.5387777,0.51118034,0.40894467,0.5178048,0.4446033,0.46122226,0.4888197,0.18211065,-0.0356096,0.1107934,0.07755547,0.022360632
3,SH600900,0.0516717646289105,1.0,,,,SH600900,长江电力,2026-06-09,0.004362038,0.011268588,0.3870971,0.0025445125,0.2258058,0.004362038,0.3870971,0.006179563,0.54838836,0.9956569,1.0025334,0.9913138,0.9979405,1.011932,0.9822452,0.9786178,0.9753723,0.988068,1.0014892,0.99997133,0.98683655,0.9831233,0.9788374,0.005167733,0.00897932,0.015804425,0.014511542,0.014473155,-0.0026346042,0.0010141497,0.001991806,0.0011381275,0.00022104221,0.6497865,0.11693075,0.5559104,0.4767124,0.07114163,0.0037800965,-0.004535027,-0.0057587354,0.00037382275,0.014641904,1.01697,1.0188086,1.0188086,1.0188086,1.0188086,0.98656136,0.9775483,0.9590733,0.9590733,0.94967103,1.0044674,1.0059183,1.0034555,0.99938905,0.9890225,0.99851084,0.99366164,0.97348225,0.97002673,0.96517754,0.6,0.5,0.75,0.8333333,0.9166667,0.44193447,0.544148,0.6851349,0.6851349,0.7279545,0.6,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.4,0.6,0.36666667,-0.2,0.4,0.35,0.23333333,0.55,-0.05899667,0.2064294,0.25615904,0.47222996,0.48046216,-0.39734942,0.5293028,0.7028243,0.76952547,0.37200648,0.2,0.5,0.45,0.46666667,0.45,0.8,0.5,0.55,0.53333336,0.51666665,-0.6,0.0,-0.1,-0.06666667,-0.06666667,0.21198295,0.67095625,0.58695656,0.5723093,0.5177003,0.78801703,0.32904378,0.4130434,0.42769068,0.4822997,-0.5760341,0.34191248,0.17391317,0.14461865,0.035400644,1.1728652,1.3846114,1.3814349,1.2856869,1.1234292,0.1654321,0.40337712,0.36233225,0.40930772,0.368641,0.20798182,1.5715765,1.2163347,1.375423,1.3230746,0.30990952,0.390551,0.4906515,0.50184834,0.4994923,0.6900905,0.609449,0.5093485,0.4981517,0.5005077,-0.38018098,-0.218898,-0.018697025,0.0036966237,-0.0010154104
4,SZ000333,0.04894964314799183,1.0,,,,,,2026-06-09,-0.0016969655,0.015030378,-0.11290239,0.005939466,0.39516413,0.007393946,0.4919335,-0.00024248548,-0.016133027,1.0016998,1.0076494,0.99259347,0.9997001,1.0029062,0.9658795,0.9724453,0.9695176,0.9396595,1.0003144,0.99084455,0.9879136,0.98378,0.956634,0.0052623865,0.015619886,0.014554842,0.013792363,0.032868177,-8.6128515e-05,0.004020093,0.0006070811,0.0007493747,0.0016288385,0.00066968164,0.6071947,0.060890075,0.2287823,0.7490395,-0.0001420791,-0.0089349635,0.006319104,0.0053540147,-0.0046847127,1.0168691,1.0168691,1.0168691,1.0168691,1.0168691,0.98202235,0.9531259,0.9531259,0.9531259,0.87141573,1.0036166,1.0029321,1.0026306,1.0001464,0.9877167,0.99837255,0.9796698,0.97414166,0.97117954,0.9276086,0.4,0.6,0.7,0.8,0.9,0.51590693,0.7353594,0.7353594,0.7353594,0.88402444,0.8,0.9,0.95,0.96666664,0.98333335,0.8,0.3,0.65,0.76666665,0.21666667,0.0,0.6,0.3,0.2,0.76666665,0.73289514,-0.0013300685,0.24245305,0.17496355,0.24690762,0.89329463,0.6280268,0.53807884,0.46459022,0.181117,0.4,0.6,0.55,0.5,0.5,0.6,0.4,0.4,0.46666667,0.48333332,-0.2,0.2,0.15,0.033333335,0.016666668,0.45360792,0.6804004,0.57662815,0.5630565,0.5582865,0.5463921,0.31959966,0.42337185,0.43694347,0.44171354,-0.09278419,0.3608007,0.15325631,0.12611306,0.11657293,1.1507256,1.2846669,1.3792435,1.413612,1.3071877,0.2907491,0.34968102,0.32155523,0.30911997,0.42301372,1.1348673,0.96686745,0.9123972,0.8712184,1.768,0.4450578,0.4842985,0.43893728,0.4766283,0.49639472,0.5549422,0.51570153,0.5610627,0.5233717,0.50360525,-0.109884374,-0.031403035,-0.12212545,-0.046743374,-0.0072105452
5,SH601166,0.04702281224315795,0.9375,,,,SH601166,兴业银行,2026-06-09,-0.0016233406,0.010281452,-0.15789022,0.0064935586,0.63157994,0.0021645522,0.21052983,-0.005952347,-0.57894033,1.001626,1.0081301,0.99783194,1.0028518,1.0087426,0.9664248,0.9620536,0.9865141,1.0141369,1.0013393,0.99672616,0.974335,0.9735956,0.9924169,0.006366179,0.012538973,0.02528324,0.02143714,0.025669908,0.00091146363,0.0026188216,0.003669818,0.0010587366,-0.0009314858,0.05124613,0.39985198,0.73738056,0.18903568,0.4016092,-0.003162192,-0.00851087,-0.009198267,0.011052722,0.035061933,1.0125178,1.013621,1.013621,1.013621,1.0346817,0.9880984,0.96367323,0.9365795,0.9365795,0.9365795,1.0055803,1.0055803,1.0023252,0.99955356,1.0170573,0.9982701,0.98820686,0.94812125,0.95744044,0.9620536,0.4,0.5,0.75,0.8333333,0.53333336,0.48738378,0.72729564,0.8231997,0.8231997,0.64647394,0.8,0.5,0.75,0.8333333,0.25,0.4,0.3,0.4,0.6,0.8,0.4,0.2,0.35,0.23333333,-0.55,0.77224946,0.06329253,0.50152135,0.384844,-0.41509876,0.9104681,0.8905025,0.7729569,0.5590259,0.13979721,0.2,0.4,0.45,0.36666667,0.38333333,0.8,0.6,0.5,0.56666666,0.56666666,-0.6,-0.2,-0.05,-0.2,-0.18333334,0.3969301,0.67783266,0.62670815,0.53735197,0.48223472,0.6030699,0.3221673,0.37329188,0.462648,0.5177653,-0.2061398,0.3556654,0.25341627,0.07470396,-0.035530563,1.1275897,1.3745286,1.2142584,1.2293295,1.0455854,0.20124032,0.46300402,0.36821872,0.33949977,0.34666044,0.82308495,1.3612905,1.4596442,1.5672164,1.4712869,0.3722596,0.4837215,0.47560957,0.48943767,0.50364536,0.62774044,0.5162785,0.5243904,0.51056236,0.49635464,-0.25548083,-0.032557037,-0.048780836,-0.02112467,0.0072906935
6,SH601988,0.046301151192794765,0.9375,,,,SH601988,中国银行,2026-06-09,0.004918033,0.019672131,0.25,0.009836066,0.5,0.004918033,0.25,0.0,0.0,0.99510604,1.0097879,0.9902121,1.001002,0.97411615,0.9640151,0.9362374,0.94949496,0.8743687,0.9843434,0.97209597,0.959596,0.951936,0.9383628,0.017474959,0.018776892,0.019846892,0.0200125,0.0281824,0.0098484885,0.005616772,0.0029401141,0.001814304,0.0012446288,0.7940481,0.82023376,0.76808864,0.6369702,0.59487206,-0.0040403986,0.0026285767,0.012472965,0.021756565,0.024920657,1.0097879,1.0097879,1.0097879,1.0097879,1.0097879,0.95565104,0.9394974,0.92349577,0.9153462,0.8679982,1.0003787,0.98939395,0.97108585,0.96464646,0.9587121,0.9688131,0.95555556,0.9444445,0.93560606,0.91944444,0.8,0.9,0.95,0.96666664,0.98333335,0.8192003,0.86075044,0.88657224,0.8963601,0.9309687,1.0,1.0,1.0,1.0,1.0,0.2,0.3,0.35,0.3,0.13333334,0.8,0.7,0.65,0.7,0.8666667,0.6785837,0.3685204,0.5177493,0.5562976,0.0890137,0.90652025,0.7150551,0.6519605,0.5160576,0.4893198,0.4,0.5,0.6,0.46666667,0.5,0.6,0.5,0.35,0.46666667,0.41666666,-0.2,0.0,0.25,0.0,0.083333336,0.7469882,0.688742,0.68634695,0.61494255,0.63074905,0.25301185,0.311258,0.31365302,0.38505745,0.36925092,0.49397632,0.37748402,0.37269393,0.22988507,0.26149812,1.1225165,1.136664,1.0691438,0.97788423,1.0067879,0.2916548,0.21855004,0.21440116,0.23812194,0.32314363,1.0473135,0.82427764,0.85006106,0.9466813,1.3433874,0.41255873,0.47203964,0.5024812,0.53010356,0.5150641,0.58744127,0.52796036,0.49751878,0.46989644,0.48493588,-0.17488253,-0.055920746,0.0049624485,0.060207143,0.03012826
7,SH601328,0.04031009781681039,0.8125,,,,SH601328,交通银行,2026-06-09,0.0073206616,0.017569536,0.4166679,0.0073206616,0.4166679,0.0029282125,0.1666642,0.0029282125,0.1666642,0.9927325,1.0072675,0.9898256,1.0013274,0.99572194,0.95935833,0.9695187,1.0160427,0.9871658,0.99058825,0.9813369,0.97419786,0.9794296,0.99209446,0.009351402,0.017153917,0.014816497,0.017859904,0.019972984,0.0049197813,0.0047480105,0.0014277659,-0.0004965703,-0.0006130485,0.6919555,0.70227647,0.32500568,0.059910774,0.287345,-0.00042780707,-0.0027029628,0.012238339,0.027770659,0.025990449,1.0072675,1.0072675,1.0072675,1.0233254,1.0365462,0.9755515,0.94518316,0.94518316,0.94518316,0.94518316,0.99786097,0.9960428,0.9883423,0.9960428,1.0104812,0.9838503,0.96641713,0.96064174,0.96524066,0.9695187,1.0,1.0,1.0,0.8666667,0.60833335,0.7708579,0.8829421,0.8829421,0.7015007,0.59998924,1.0,1.0,1.0,0.06666667,0.23333333,0.4,0.3,0.65,0.76666665,0.8833333,0.6,0.7,0.35,-0.7,-0.65,0.8295759,0.41095358,0.47819984,-0.16488741,-0.33683777,0.9320019,0.6768827,0.4177195,0.027173167,0.005488435,0.6,0.6,0.5,0.4,0.51666665,0.4,0.4,0.45,0.53333336,0.43333334,0.2,0.2,0.05,-0.13333334,0.083333336,0.55128205,0.71348315,0.6043956,0.46231157,0.51463413,0.44871795,0.28651685,0.3956044,0.53768843,0.48536587,0.102564104,0.42696628,0.20879121,-0.07537688,0.029268293,0.95670444,1.0061297,0.9322451,0.8952817,0.82253623,0.0945357,0.15624788,0.15789206,0.21992105,0.20902213,0.6828511,0.7814567,0.95697254,1.0480325,1.1761433,0.42390218,0.57389206,0.5426102,0.526678,0.5172421,0.57609785,0.42610794,0.45738977,0.47332197,0.48275793,-0.15219566,0.14778413,0.08522048,0.053356055,0.034484137
8,SH600377,0.037133973460269636,0.8125,,,,SH600377,宁沪高速,2026-06-09,0.009486228,0.023715455,0.40000194,0.008695639,0.36666548,0.005533588,0.23333257,0.006324178,0.26666903,0.9906029,1.008614,0.9851213,1.0004532,1.0196036,0.97888833,0.9758724,0.95540714,0.95540714,0.99724257,0.99989223,0.98290604,0.9740557,0.9563622,0.006400324,0.0119526535,0.019876301,0.021147389,0.029231336,-0.002068069,4.569873e-05,0.002625424,0.0020319861,0.00090619497,0.26101544,0.00013399575,0.6106548,0.7155331,0.29312024,0.0068935943,-9.789972e-05,-0.007847569,-0.00351949,0.016905079,1.0181319,1.0235192,1.0235192,1.0235192,1.0235192,0.9788335,0.9726462,0.9522166,0.93576586,0.89820325,1.0011202,1.0100819,1.0011202,0.9941835,0.976174,0.99228776,0.9897027,0.96591985,0.9566135,0.9297716,0.8,0.6,0.8,0.8666667,0.93333334,0.53861105,0.53768903,0.6701501,0.7319858,0.81232125,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.4,0.06666667,0.36666667,-0.6,0.4,0.35,0.76666665,0.55,0.52418894,0.66536105,0.7735478,0.55027986,0.18021597,0.41107798,0.65604925,0.48636764,0.58248955,0.32910287,0.2,0.5,0.45,0.5,0.53333336,0.8,0.5,0.55,0.5,0.45,-0.6,0.0,-0.1,0.0,0.083333336,0.26424924,0.6060609,0.5682928,0.5885372,0.54125154,0.73575073,0.39393908,0.43170717,0.41146275,0.45874846,-0.4715015,0.21212186,0.13658565,0.17707449,0.08250306,0.9018653,1.0348467,0.8963206,0.90793556,0.9957371,0.16143908,0.24535699,0.22465077,0.24292834,0.34597826,0.6406116,0.98771834,0.967123,0.97529215,1.0559074,0.44149408,0.5538863,0.41964206,0.51386344,0.50152856,0.5585059,0.4461137,0.5803579,0.4861366,0.49847144,-0.11701183,0.107772596,-0.16071585,0.027726835,0.0030571236
9,SH601916,0.034130914396338405,0.625,,,,SH601916,浙商银行,2026-06-09,0.0065573817,0.026229527,0.25,0.013114763,0.5,0.0065573817,0.25,0.0,0.0,0.99348533,1.0130293,0.98697066,1.0017604,1.0,0.9670588,0.98117644,0.96941173,0.99764705,0.99905884,0.98988235,0.98117644,0.9781961,0.98258823,0.00515504,0.015411328,0.014240959,0.013150569,0.017378224,0.0,0.0040356535,0.0016665205,0.00098096,-0.00030832118,0.0,0.62857795,0.47930387,0.43123618,0.09600542,0.0009411772,-0.008042787,0.002991599,0.0075800186,0.026507253,1.0130293,1.0130293,1.0130293,1.0130293,1.0253336,0.98697066,0.963451,0.963451,0.9614467,0.95438975,1.0014118,1.0,0.99764705,0.99388236,1.0070589,0.9967059,0.97411764,0.9670588,0.9665882,0.9670588,0.8,0.85,0.925,0.95,0.775,0.5,0.73719716,0.73719716,0.74740857,0.6429062,1.0,1.0,1.0,1.0,0.06666667,1.0,0.3,0.65,0.06666667,0.3,0.0,0.7,0.35,0.93333334,-0.23333333,0.29906857,0.82745975,0.8527289,0.82257307,0.64934325,0.6834503,0.51742756,0.5091468,0.49924916,-0.014617621,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.33333334,0.41666666,0.0,0.2,-0.1,-0.033333335,-0.11666667,0.5,0.73333335,0.5952381,0.6226415,0.50344825,0.5,0.26666668,0.4047619,0.3773585,0.49655172,0.0,0.46666667,0.1904762,0.24528302,0.0068965517,0.781571,0.7224644,0.5530981,0.5070274,0.5734987,0.12943566,0.21670173,0.23561311,0.2127807,0.26788998,0.79808575,1.1222017,1.4831907,1.6344229,2.0418315,0.6240239,0.69347394,0.6146405,0.55676603,0.50798666,0.3759761,0.30652606,0.3853595,0.443234,0.49201334,0.24804781,0.38694784,0.229281,0.11353201,0.015973328
