,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
0,2026-05-27,SH600000,-0.0009588903026050907,EXP_CatBoostModel_Alpha158_csi300_custom_step0_s_20260527_15,6dcb6c2ff06f4b928dfb43a0c4712844,0.043,,,
1,2026-05-27,SZ300803,0.09595191131664374,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
2,2026-05-27,SZ300832,0.016042064843606738,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
3,2026-05-27,SZ300866,0.15792757653190836,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
4,2026-05-27,SZ300896,0.059478651292956985,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
5,2026-05-27,SZ300979,0.0680594174394618,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
6,2026-05-27,SZ300999,-0.03433657078837535,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
7,2026-05-27,SZ301236,0.1435664861877983,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
8,2026-05-27,SZ301269,-0.1422103129369897,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
9,2026-05-27,SZ302132,0.02473856550020717,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260527_13,7b388691b2364533b141c8b277ed27cc,0.04,,,
10,2026-05-27,SH600000,-0.008547467179596424,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,8b75b6c8d3e0445994c071ee59d6cccf,0.09,,,
